レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
19120674,1-2-3,1-5-4,10,30,-100,-100,-100,-100,-100
19120979,1-2-3,1-2-5,10,10,160,120,30,-100,-100
19122085,1-2-3,4-6-2,-100,-100,-100,-100,-100,-100,-100
19120587,1-2-3,2-1-4,-100,10,-100,310,120,-100,-100
19120680,1-2-3,1-6-5,250,150,-100,-100,-100,-100,-100
19120779,1-2-3,1-2-3,40,0,450,380,100,1090,280
19122091,2-3-1,2-3-5,170,30,510,140,30,-100,-100
19121089,1-2-3,1-4-6,60,20,-100,-100,-100,-100,-100
191225116,1-2-3,4-5-1,-100,-100,-100,-100,-100,-100,-100
191226129,1-2-3,5-2-6,-100,-100,-100,-100,-100,-100,-100
19120975,1-2-4,1-6-3,50,30,-100,-100,-100,-100,-100
191228135,1-2-3,1-4-5,40,0,-100,-100,-100,-100,-100
191228144,1-2-3,1-2-3,0,0,190,150,40,470,130
191225110,1-2-3,2-3-1,-100,-100,-100,-100,0,-100,220
19122261,1-2-5,1-3-2,0,0,-100,-100,20,-100,-100
191226122,1-2-3,1-2-4,0,0,40,30,10,-100,-100
191227116,1-2-4,1-4-5,30,30,-100,-100,-100,-100,-100
19121785,1-2-3,6-2-1,-100,-100,-100,-100,40,-100,-100
191228137,1-2-3,3-4-2,-100,-100,-100,-100,-100,-100,-100
191226130,1-2-3,3-6-1,-100,-100,-100,-100,-100,-100,-100
191226131,1-2-5,1-3-5,10,0,-100,-100,-100,-100,-100
19121796,1-2-3,1-5-2,50,50,-100,-100,90,-100,-100
19121789,1-2-4,5-1-2,-100,100,-100,-100,20,-100,-100
191219109,1-2-3,1-2-3,20,0,300,270,40,1100,450
19122089,1-2-5,2-1-5,-100,0,-100,80,30,-100,130
19120984,1-2-3,1-4-3,20,50,-100,-100,-100,-100,-100
19121096,1-3-2,4-2-1,-100,-100,-100,-100,-100,-100,-100
191225113,1-2-3,6-2-3,-100,-100,-100,-100,-100,-100,-100
19120588,1-4-3,4-6-3,-100,-100,-100,-100,-100,-100,-100
19122169,1-2-4,1-2-3,20,0,330,220,140,-100,-100
19122168,1-2-3,4-5-6,-100,-100,-100,-100,-100,-100,-100
19121887,1-2-3,3-2-4,-100,-100,-100,-100,-100,-100,-100
19120594,1-2-3,1-3-5,40,20,-100,-100,-100,-100,-100
191219116,1-2-4,6-1-4,-100,60,-100,-100,-100,-100,-100
19120879,1-2-4,3-1-2,-100,20,-100,-100,80,-100,-100
191219112,1-2-3,1-3-4,30,20,-100,-100,-100,-100,-100
19122268,1-2-4,2-4-1,-100,-100,-100,-100,90,-100,150
19120883,1-2-4,1-2-3,10,0,220,180,40,-100,-100
19121786,1-2-3,2-3-1,-100,-100,-100,-100,60,-100,150
19120776,3-1-2,1-6-2,-100,-100,-100,-100,-100,-100,-100
191229156,2-1-3,1-2-4,-100,130,-100,260,90,-100,-100
19122269,1-2-3,1-5-2,20,0,-100,-100,50,-100,-100
191229150,1-2-3,2-6-5,-100,-100,-100,-100,-100,-100,-100
19122086,1-2-3,1-2-6,20,0,80,10,30,-100,-100
191229154,1-3-2,1-3-2,80,0,200,90,30,650,110
19121095,1-2-4,1-4-3,10,0,-100,-100,-100,-100,-100
19120881,1-2-5,1-5-6,30,80,-100,-100,-100,-100,-100
191229151,1-2-3,4-5-1,-100,-100,-100,-100,-100,-100,-100
19121885,1-2-3,1-4-3,0,0,-100,-100,-100,-100,-100
191225115,1-2-5,1-2-3,150,0,180,10,60,-100,-100
191219117,1-3-4,1-4-5,80,20,-100,-100,-100,-100,-100
19120589,1-2-5,5-1-4,-100,70,-100,-100,-100,-100,-100
19122265,1-2-3,1-3-4,190,60,-100,-100,-100,-100,-100
191228136,1-2-3,1-3-2,40,60,-100,-100,0,-100,50
19122271,1-2-3,1-2-3,10,0,100,80,10,620,360
19120877,1-2-4,1-2-4,10,0,120,80,10,420,150
19120884,1-2-5,1-3-4,0,0,-100,-100,-100,-100,-100
191229148,1-2-3,1-2-3,30,0,60,90,20,210,80
191226132,1-2-3,1-4-2,20,170,-100,-100,50,-100,-100
19120982,1-2-3,3-2-5,-100,-100,-100,-100,-100,-100,-100
191219115,1-3-4,5-1-6,-100,160,-100,-100,-100,-100,-100
19121091,1-2-3,1-4-3,110,0,-100,-100,-100,-100,-100
19122166,1-2-3,1-4-2,60,10,-100,-100,190,-100,-100
19120592,1-2-6,1-2-4,180,60,360,80,40,-100,-100
19121886,1-2-3,1-2-4,10,0,110,50,30,-100,-100
