レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
19120858,1-2-3,1-4-6,20,10,-100,-100,-100,-100,-100
19121550,2-1-3,1-5-3,-100,-100,-100,-100,-100,-100,-100
19121654,1-2-4,1-4-3,50,20,-100,-100,-100,-100,-100
19122985,1-2-3,1-2-4,10,0,190,40,10,-100,-100
19120652,1-2-3,1-5-4,50,30,-100,-100,-100,-100,-100
19122986,1-2-3,1-5-3,0,90,-100,-100,-100,-100,-100
19122464,1-2-4,4-1-5,-100,10,-100,-100,-100,-100,-100
19121451,1-2-3,4-3-2,-100,-100,-100,-100,-100,-100,-100
19120472,1-2-3,1-3-2,10,0,-100,-100,70,-100,360
19120464,1-2-3,1-3-5,50,0,-100,-100,-100,-100,-100
19121453,2-1-3,3-2-4,-100,60,-100,-100,-100,-100,-100
19121651,1-2-4,3-4-5,-100,-100,-100,-100,-100,-100,-100
19120859,1-2-3,1-2-3,0,0,140,60,40,430,250
19120655,2-1-3,4-2-3,-100,40,-100,-100,-100,-100,-100
19121976,1-2-3,1-2-3,120,10,420,450,80,1230,400
19122561,1-2-3,1-3-5,0,0,-100,-100,-100,-100,-100
19120659,1-2-3,1-4-3,30,0,-100,-100,-100,-100,-100
19121652,1-3-2,3-1-6,-100,140,-100,280,180,-100,-100
19120849,1-2-3,4-3-2,-100,-100,-100,-100,-100,-100,-100
19122671,1-2-3,2-4-5,-100,-100,-100,-100,-100,-100,-100
19120753,1-2-3,1-3-6,20,0,-100,-100,-100,-100,-100
19121458,1-2-3,4-5-3,-100,-100,-100,-100,-100,-100,-100
19121558,1-2-3,4-6-3,-100,-100,-100,-100,-100,-100,-100
19121978,1-2-3,1-4-2,20,0,-100,-100,20,-100,-100
19120851,1-2-3,1-3-2,50,20,-100,-100,30,-100,490
19120857,1-2-3,1-2-5,10,0,230,220,70,-100,-100
19122877,1-2-3,1-4-3,0,170,-100,-100,-100,-100,-100
19120560,1-2-3,3-2-4,-100,-100,-100,-100,-100,-100,-100
19121650,2-3-1,5-2-6,-100,130,-100,-100,-100,-100,-100
19122661,1-2-3,2-1-5,-100,0,-100,250,140,-100,-100
19120755,1-2-3,1-4-2,20,10,-100,-100,170,-100,-100
19122881,1-2-3,1-4-6,10,0,-100,-100,-100,-100,-100
19121983,1-2-3,1-3-5,20,0,-100,-100,-100,-100,-100
19121750,1-2-3,1-3-4,110,10,-100,-100,-100,-100,-100
19122664,1-2-3,6-5-3,-100,-100,-100,-100,-100,-100,-100
19122571,1-2-3,1-4-5,80,0,-100,-100,-100,-100,-100
19121854,1-3-2,1-4-5,10,0,-100,-100,-100,-100,-100
19120750,1-2-3,2-1-4,-100,180,-100,300,110,-100,-100
19121758,1-2-3,1-2-3,80,10,270,170,70,930,340
19120465,2-1-3,2-4-6,90,20,-100,-100,-100,-100,-100
19121653,1-2-3,3-1-5,-100,60,-100,-100,-100,-100,-100
19120349,1-2-4,1-4-6,0,0,-100,-100,-100,-100,-100
19120555,1-3-2,1-6-4,140,80,-100,-100,-100,-100,-100
19121980,1-2-3,4-1-5,-100,0,-100,-100,-100,-100,-100
19120756,1-2-3,1-2-4,0,10,380,170,50,-100,-100
19122771,1-2-4,1-4-3,0,10,-100,-100,-100,-100,-100
19120660,1-2-3,1-2-5,0,0,160,100,0,-100,-100
19121460,2-1-3,1-5-4,-100,-100,-100,-100,-100,-100,-100
19122669,1-2-3,1-4-3,0,0,-100,-100,-100,-100,-100
19120471,1-2-3,4-1-3,-100,0,-100,-100,-100,-100,-100
19122472,1-2-3,1-4-5,0,0,-100,-100,-100,-100,-100
19122465,1-2-3,5-2-6,-100,-100,-100,-100,-100,-100,-100
19122562,1-2-3,1-4-6,160,20,-100,-100,-100,-100,-100
19122876,2-1-3,1-2-5,-100,0,-100,200,0,-100,-100
19121560,1-2-3,1-5-3,20,10,-100,-100,-100,-100,-100
19122469,1-2-3,1-3-5,20,0,-100,-100,-100,-100,-100
19121981,2-1-3,1-2-3,-100,10,-100,120,30,-100,510
19120760,1-2-3,1-2-6,0,0,100,140,40,-100,-100
19121759,1-3-2,1-4-6,10,10,-100,-100,-100,-100,-100
19122662,2-1-3,2-4-5,270,70,-100,-100,-100,-100,-100
19122470,1-2-3,1-2-4,40,10,130,150,40,-100,-100
19120355,2-1-4,1-3-4,-100,-100,-100,-100,-100,-100,-100
19122463,1-2-3,5-1-2,-100,0,-100,-100,50,-100,-100
19122466,1-2-3,1-3-5,10,0,-100,-100,-100,-100,-100
19121984,1-2-3,1-2-4,20,0,180,140,70,-100,-100
19122989,2-1-4,2-6-5,180,50,-100,-100,-100,-100,-100
19121860,1-3-2,1-3-6,30,0,230,190,80,-100,-100
19120860,1-2-3,1-3-4,10,0,-100,-100,-100,-100,-100
19121551,2-1-3,1-4-6,-100,-100,-100,-100,-100,-100,-100
19121849,1-2-3,1-2-4,110,10,230,240,80,-100,-100
19121553,1-2-3,5-1-4,-100,60,-100,-100,-100,-100,-100
19120461,1-2-3,1-3-2,0,10,-100,-100,40,-100,240
19121457,1-2-3,3-1-6,-100,0,-100,-100,-100,-100,-100
19121973,1-2-5,1-5-4,50,70,-100,-100,-100,-100,-100
19122471,1-2-3,1-5-4,30,0,-100,-100,-100,-100,-100
19121850,1-3-2,2-3-4,-100,-100,-100,-100,-100,-100,-100
19120352,1-2-3,2-1-3,-100,30,-100,190,40,-100,240
19120649,1-2-3,1-2-3,0,0,160,120,30,1490,1270
19122762,1-2-3,3-2-1,-100,-100,-100,-100,50,-100,160
19120749,1-3-2,1-3-5,0,0,110,160,0,-100,-100
19121856,1-3-2,3-4-1,-100,-100,-100,-100,120,-100,-100
19121858,1-2-3,1-2-5,40,0,130,90,30,-100,-100
19121554,1-2-3,4-6-5,-100,-100,-100,-100,-100,-100,-100
19120356,1-2-3,3-2-4,-100,-100,-100,-100,-100,-100,-100
19121555,1-2-3,6-1-3,-100,0,-100,-100,-100,-100,-100
19121658,1-2-4,1-4-2,0,20,-100,-100,40,-100,310
19120470,1-2-3,1-5-6,80,20,-100,-100,-100,-100,-100
19122882,1-2-3,1-4-6,10,0,-100,-100,-100,-100,-100
19122670,1-2-3,1-2-5,0,0,680,780,250,-100,-100
19122767,1-2-3,5-1-2,-100,70,-100,-100,70,-100,-100
19121760,1-2-3,2-1-6,-100,0,-100,400,180,-100,-100
19121757,1-2-3,2-4-3,-100,-100,-100,-100,-100,-100,-100
19120559,1-2-3,3-5-2,-100,-100,-100,-100,-100,-100,-100
19120854,1-2-3,1-3-4,60,0,-100,-100,-100,-100,-100
19120757,1-2-3,1-5-4,40,20,-100,-100,-100,-100,-100
19120550,2-1-3,2-5-4,20,0,-100,-100,-100,-100,-100
19122993,1-2-3,1-5-4,0,0,-100,-100,-100,-100,-100
