レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
19122021,1-3-2,1-2-5,50,0,-100,-100,-100,-100,-100
19120621,1-2-4,1-4-5,50,10,-100,-100,-100,-100,-100
19122747,1-3-2,1-2-4,0,0,-100,-100,-100,-100,-100
19120934,1-2-4,3-4-2,-100,-100,-100,-100,-100,-100,-100
19120931,1-2-3,1-3-4,10,0,-100,-100,-100,-100,-100
19122629,1-2-4,1-2-4,140,0,190,20,70,2120,780
19121642,2-1-3,2-1-3,130,80,370,80,20,2090,770
19122739,1-3-2,1-5-6,60,50,-100,-100,-100,-100,-100
19122018,1-2-3,1-5-3,50,0,-100,-100,-100,-100,-100
19122526,1-2-6,1-2-5,0,10,380,360,140,-100,-100
19122626,1-3-2,1-3-4,40,20,410,250,40,-100,-100
19121832,1-2-3,6-1-2,-100,30,-100,-100,20,-100,-100
19122015,1-3-2,1-2-5,20,20,-100,-100,-100,-100,-100
19121930,1-3-4,4-2-6,-100,-100,-100,-100,-100,-100,-100
19122635,1-3-4,6-5-3,-100,-100,-100,-100,-100,-100,-100
19122829,1-2-4,1-2-3,30,0,40,30,0,-100,-100
19122525,1-2-5,1-3-6,20,0,-100,-100,-100,-100,-100
19120616,1-2-3,1-2-4,40,0,320,300,80,-100,-100
19123136,1-2-4,2-1-5,-100,30,-100,170,120,-100,-100
19120624,1-2-3,4-1-5,-100,50,-100,-100,-100,-100,-100
19121830,1-2-3,2-1-5,-100,10,-100,60,20,-100,-100
19121729,2-1-3,2-1-3,90,0,310,20,10,680,120
19121648,1-3-2,1-5-3,30,0,-100,-100,130,-100,-100
19120836,1-2-3,3-4-5,-100,-100,-100,-100,-100,-100,-100
19120827,1-3-2,1-5-3,50,70,-100,-100,10,-100,-100
19123125,1-2-3,1-2-6,10,0,140,120,30,-100,-100
19122531,1-2-3,2-1-4,-100,10,-100,130,20,-100,-100
19120925,1-3-2,5-2-6,-100,-100,-100,-100,-100,-100,-100
19120733,1-2-3,1-2-4,400,60,350,50,110,-100,-100
19121645,2-1-3,3-4-6,-100,-100,-100,-100,-100,-100,-100
19120619,1-3-2,2-1-4,-100,0,-100,-100,-100,-100,-100
19122742,1-3-2,6-3-5,-100,-100,-100,-100,-100,-100,-100
19121733,2-1-5,4-6-2,-100,-100,-100,-100,-100,-100,-100
19120727,1-3-5,1-3-4,60,0,130,30,0,-100,-100
19120620,1-3-2,1-3-4,30,0,80,160,70,-100,-100
19120725,1-2-3,1-2-3,0,0,100,100,50,680,350
19123131,1-2-3,3-1-5,-100,20,-100,-100,-100,-100,-100
19121030,1-2-3,3-2-6,-100,-100,-100,-100,-100,-100,-100
19121035,1-2-3,4-1-2,-100,30,-100,-100,80,-100,-100
19121834,1-2-3,2-4-1,-100,-100,-100,-100,110,-100,-100
19122628,1-2-3,4-1-6,-100,0,-100,-100,-100,-100,-100
19120830,1-3-2,2-1-3,-100,10,-100,-100,40,-100,410
19120929,1-2-4,1-2-4,70,0,130,60,60,690,250
19120936,1-2-3,1-5-4,10,0,-100,-100,-100,-100,-100
19122529,1-2-3,2-1-5,-100,40,-100,90,0,-100,-100
19120825,1-3-4,1-3-4,0,0,90,70,10,440,280
19120614,1-2-3,1-4-2,60,10,-100,-100,70,-100,-100
19121644,1-2-3,1-6-4,80,20,-100,-100,-100,-100,-100
19122836,1-2-3,1-4-3,0,0,-100,-100,-100,-100,-100
19122831,1-2-3,1-2-5,70,0,260,130,60,-100,-100
19121936,1-2-3,2-1-3,-100,0,-100,50,10,-100,140
19121646,1-2-4,5-2-4,-100,-100,-100,-100,-100,-100,-100
19121831,1-2-3,4-2-1,-100,-100,-100,-100,10,-100,-100
19121725,1-2-4,1-4-5,10,10,-100,-100,-100,-100,-100
19121829,1-2-3,2-1-3,-100,30,-100,60,10,-100,110
19122014,1-3-2,1-2-5,20,0,-100,-100,-100,-100,-100
19121828,1-2-3,1-2-3,0,10,300,230,80,620,220
19123126,1-2-4,1-4-3,90,0,-100,-100,-100,-100,-100
19121926,1-2-3,1-2-5,10,0,160,190,50,-100,-100
19122631,1-3-2,2-5-3,-100,-100,-100,-100,-100,-100,-100
19120932,1-2-3,6-1-3,-100,80,-100,-100,-100,-100,-100
19122746,1-2-3,3-4-1,-100,-100,-100,-100,-100,-100,-100
19120835,1-2-3,1-2-3,10,0,70,70,0,290,110
19121931,1-2-3,4-1-3,-100,0,-100,-100,-100,-100,-100
19120728,1-2-3,1-3-4,0,0,-100,-100,-100,-100,-100
19121027,1-3-4,3-5-2,-100,-100,-100,-100,-100,-100,-100
