レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
19123091,1-2-3,5-4-2,-100,-100,-100,-100,-100,-100,-100
19122686,1-2-3,1-2-3,50,10,390,330,110,2110,1250
19122374,1-2-3,4-2-1,-100,-100,-100,-100,20,-100,-100
19121578,1-2-4,1-4-6,100,0,-100,-100,-100,-100,-100
19121482,1-2-3,1-2-3,20,40,120,70,30,480,170
191231101,1-3-4,2-4-1,-100,-100,-100,-100,-100,-100,-100
19122490,1-2-3,4-1-5,-100,10,-100,-100,-100,-100,-100
19120377,1-2-3,1-2-5,60,0,300,330,90,-100,-100
191229108,1-2-3,2-5-3,-100,-100,-100,-100,-100,-100,-100
191229101,2-1-3,3-2-4,-100,10,-100,-100,-100,-100,-100
19122384,1-2-3,3-4-6,-100,-100,-100,-100,-100,-100,-100
19122378,1-2-3,6-1-3,-100,90,-100,-100,-100,-100,-100
19120374,1-2-4,2-1-4,-100,10,-100,400,120,-100,910
19121354,1-2-3,4-6-3,-100,-100,-100,-100,-100,-100,-100
19121264,1-2-3,1-4-3,20,40,-100,-100,-100,-100,-100
19121576,1-2-3,1-4-5,90,0,-100,-100,-100,-100,-100
19123095,1-2-3,1-3-2,120,120,-100,-100,150,-100,250
19121169,1-2-3,2-1-4,-100,60,-100,80,40,-100,-100
19122690,1-2-3,4-2-1,-100,-100,-100,-100,100,-100,-100
19121269,1-2-3,2-3-4,-100,-100,-100,-100,-100,-100,-100
19120188,1-3-2,1-3-2,10,0,70,120,40,1370,460
19123088,1-3-2,1-4-5,0,0,-100,-100,-100,-100,-100
19122379,1-2-3,1-6-4,240,70,-100,-100,-100,-100,-100
19121349,1-2-3,1-2-3,10,0,1060,880,340,2000,700
19122373,1-2-3,1-2-6,10,0,140,170,50,-100,-100
19120275,1-2-3,1-3-4,40,0,-100,-100,-100,-100,-100
19121480,1-2-3,3-6-5,-100,-100,-100,-100,-100,-100,-100
19120279,1-2-3,6-1-2,-100,0,-100,-100,630,-100,-100
19121357,2-1-3,2-3-5,90,20,-100,-100,-100,-100,-100
19123199,1-3-2,3-5-1,-100,-100,-100,-100,10,-100,-100
19123198,1-2-3,1-3-4,60,10,-100,-100,-100,-100,-100
19120373,1-2-3,1-2-6,0,0,120,90,30,-100,-100
19122592,2-1-3,1-2-4,-100,20,-100,510,90,-100,-100
19122383,1-2-3,3-5-2,-100,-100,-100,-100,-100,-100,-100
19122587,1-2-3,3-4-5,-100,-100,-100,-100,-100,-100,-100
19121479,1-2-3,2-3-5,-100,-100,-100,-100,-100,-100,-100
19121353,1-2-3,1-3-5,0,60,-100,-100,-100,-100,-100
19121271,1-2-3,1-3-6,20,0,-100,-100,-100,-100,-100
191231106,2-1-3,3-1-4,-100,-100,-100,-100,-100,-100,-100
19122687,1-2-3,1-2-4,0,10,150,160,50,-100,-100
19121071,1-2-3,1-5-2,30,120,-100,-100,50,-100,-100
19121261,1-2-3,3-1-5,-100,0,-100,-100,-100,-100,-100
19121359,1-3-2,1-3-5,100,0,190,120,20,-100,-100
19122496,1-2-3,1-2-5,10,0,160,60,0,-100,-100
19123092,1-3-2,2-4-6,-100,-100,-100,-100,-100,-100,-100
19122380,1-2-3,4-2-6,-100,-100,-100,-100,-100,-100,-100
191229103,1-2-3,1-2-4,850,340,2810,1280,300,-100,-100
19122491,1-2-3,2-3-6,-100,-100,-100,-100,-100,-100,-100
