レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
191218139,1-2-3,1-2-3,20,20,40,40,30,550,320
191215165,1-2-3,1-3-2,0,0,-100,-100,20,-100,190
191204136,1-2-3,2-1-4,-100,0,-100,180,40,-100,-100
191209137,1-2-3,1-6-5,120,70,-100,-100,-100,-100,-100
191207132,1-2-3,1-6-3,30,0,-100,-100,-100,-100,-100
191219140,1-2-4,1-2-5,20,20,170,80,40,-100,-100
191226170,1-2-3,1-6-5,120,40,-100,-100,-100,-100,-100
191209135,1-2-3,1-3-2,180,140,-100,-100,310,-100,290
191220144,1-2-3,1-3-4,10,0,-100,-100,-100,-100,-100
191208128,1-2-3,1-3-6,140,130,-100,-100,-100,-100,-100
191203137,1-2-3,1-2-6,20,20,220,160,40,-100,-100
191217141,1-2-3,1-3-5,50,40,-100,-100,-100,-100,-100
191225161,1-2-3,5-6-2,-100,-100,-100,-100,-100,-100,-100
191207125,1-2-3,1-3-4,230,50,-100,-100,-100,-100,-100
191216136,1-2-3,5-2-6,-100,-100,-100,-100,-100,-100,-100
191208131,1-2-3,1-2-6,130,10,240,120,20,-100,-100
191220142,1-2-3,1-6-5,10,0,-100,-100,-100,-100,-100
191203135,1-2-3,1-2-4,20,0,280,220,100,-100,-100
191208127,2-1-3,2-1-6,140,0,1230,690,190,-100,-100
191216141,1-2-3,1-2-5,120,0,150,250,70,-100,-100
191218144,1-2-3,1-3-6,40,0,-100,-100,-100,-100,-100
191224147,1-2-3,1-3-4,20,0,-100,-100,-100,-100,-100
191207128,1-2-3,1-4-2,530,0,-100,-100,160,-100,-100
191224152,1-2-3,1-2-6,10,0,270,110,30,-100,-100
191201162,1-2-4,2-1-4,-100,100,-100,600,130,-100,290
191210144,1-2-3,4-2-5,-100,-100,-100,-100,-100,-100,-100
191215164,1-2-3,1-2-3,120,30,380,190,40,900,220
191219144,1-2-3,1-3-5,10,10,-100,-100,-100,-100,-100
191226171,1-2-3,2-5-3,-100,-100,-100,-100,-100,-100,-100
191224153,1-2-3,5-4-1,-100,-100,-100,-100,-100,-100,-100
191216135,1-2-3,1-6-2,90,30,-100,-100,360,-100,-100
191217134,1-2-3,6-5-1,-100,-100,-100,-100,-100,-100,-100
191226176,1-2-3,5-1-3,-100,200,-100,-100,-100,-100,-100
191228182,1-2-3,1-2-5,70,190,1450,560,420,-100,-100
191217138,1-2-3,1-6-2,250,210,-100,-100,80,-100,-100
191229197,1-2-3,4-3-2,-100,-100,-100,-100,-100,-100,-100
191224146,1-2-3,2-3-6,-100,-100,-100,-100,-100,-100,-100
191229201,1-2-3,3-1-4,-100,30,-100,-100,-100,-100,-100
191226173,1-2-3,1-2-3,180,80,420,220,70,2180,820
191209136,1-2-3,4-2-1,-100,-100,-100,-100,60,-100,-100
191225163,1-2-3,3-6-1,-100,-100,-100,-100,-100,-100,-100
191208130,1-2-3,4-5-2,-100,-100,-100,-100,-100,-100,-100
191207130,1-2-3,1-3-2,0,0,-100,-100,60,-100,490
191228189,1-2-3,1-2-4,20,0,150,380,30,-100,-100
191226178,1-2-3,4-2-3,-100,-100,-100,-100,-100,-100,-100
191210134,1-2-3,4-1-5,-100,60,-100,-100,-100,-100,-100
191201166,1-2-3,4-3-6,-100,-100,-100,-100,-100,-100,-100
191215159,1-2-3,2-1-5,-100,0,-100,270,110,-100,-100
191207126,1-2-3,5-6-1,-100,-100,-100,-100,-100,-100,-100
191201164,1-2-4,4-5-2,-100,-100,-100,-100,-100,-100,-100
191216137,1-2-3,2-1-5,-100,80,-100,380,80,-100,-100
191217142,1-2-3,3-1-6,-100,20,-100,-100,-100,-100,-100
191215166,1-2-3,4-5-2,-100,-100,-100,-100,-100,-100,-100
191229199,1-2-3,1-2-3,40,0,80,20,0,320,70
191229200,1-2-3,1-3-4,70,140,-100,-100,-100,-100,-100
191220135,1-2-3,1-2-5,80,0,640,450,160,-100,-100
191225158,1-2-3,1-2-3,220,30,1840,690,250,2560,330
191209142,1-2-3,2-1-5,-100,0,-100,40,10,-100,-100
191207129,1-2-3,4-1-6,-100,0,-100,-100,-100,-100,-100
191208123,1-2-3,4-6-3,-100,-100,-100,-100,-100,-100,-100
191219135,1-2-3,2-1-3,-100,0,-100,160,40,-100,650
191203133,1-2-3,3-1-6,-100,0,-100,-100,-100,-100,-100
191216143,1-2-3,1-2-6,240,0,230,150,70,-100,-100
191228187,1-2-3,1-4-3,160,730,-100,-100,-100,-100,-100
191210136,1-2-3,1-3-5,70,70,-100,-100,-100,-100,-100
191210139,1-2-3,3-4-6,-100,-100,-100,-100,-100,-100,-100
191224150,1-2-3,4-1-2,-100,110,-100,-100,10,-100,-100
191207127,1-2-3,1-2-5,180,0,300,70,50,-100,-100
191203138,1-2-3,1-4-2,10,30,-100,-100,50,-100,-100
191219136,1-2-3,4-6-3,-100,-100,-100,-100,-100,-100,-100
191224149,1-3-2,2-1-3,-100,140,-100,-100,480,-100,2310
191226169,1-2-3,1-4-2,0,10,-100,-100,40,-100,-100
191204138,1-2-3,1-3-5,40,0,-100,-100,-100,-100,-100
191216144,1-2-3,3-2-5,-100,-100,-100,-100,-100,-100,-100
191226174,1-2-3,1-2-4,170,20,300,120,60,-100,-100
191203134,1-2-3,1-5-2,30,30,-100,-100,60,-100,-100
191220133,1-2-3,1-3-2,200,70,-100,-100,30,-100,340
191229196,1-2-3,2-1-6,-100,60,-100,560,250,-100,-100
191227146,1-2-3,1-3-4,50,0,-100,-100,-100,-100,-100
191215162,1-2-3,4-6-2,-100,-100,-100,-100,-100,-100,-100
191218141,1-2-3,5-4-1,-100,-100,-100,-100,-100,-100,-100
191228181,1-2-3,1-2-4,50,10,210,150,90,-100,-100
191201163,1-2-3,2-3-1,-100,-100,-100,-100,80,-100,200
191219137,1-2-3,4-1-3,-100,80,-100,-100,-100,-100,-100
191217143,1-2-3,1-2-3,60,0,510,240,140,1270,250
191216133,1-2-3,3-1-4,-100,110,-100,-100,-100,-100,-100
191217135,1-2-3,1-6-4,110,40,-100,-100,-100,-100,-100
191207131,1-2-3,1-5-2,0,0,-100,-100,50,-100,-100
191201161,1-2-3,2-4-5,-100,-100,-100,-100,-100,-100,-100
191229203,1-2-3,4-3-5,-100,-100,-100,-100,-100,-100,-100
191201159,1-2-3,6-1-4,-100,60,-100,-100,-100,-100,-100
