レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
200109111,1-5-3,5-1-3,-100,40,-100,400,80,-100,260
200109115,2-6-5,4-3-1,-100,-100,-100,-100,-100,-100,-100
200109116,1-6-2,5-4-2,-100,-100,-100,-100,-100,-100,-100
200109114,1-4-3,4-2-6,-100,-100,-100,-100,-100,-100,-100
200109113,4-2-5,3-1-4,-100,-100,-100,-100,-100,-100,-100
200109112,1-2-5,1-5-4,30,20,-100,-100,-100,-100,-100
200109109,1-4-2,1-3-2,170,50,-100,-100,-100,-100,-100
200109110,1-4-2,5-2-1,-100,-100,-100,-100,-100,-100,-100
200109117,6-1-2,2-6-1,-100,50,-100,-100,10,-100,310
200109118,1-3-2,2-1-5,-100,30,-100,-100,-100,-100,-100
200109119,1-2-4,1-4-5,90,20,-100,-100,-100,-100,-100
200109120,2-1-4,4-2-1,-100,60,-100,-100,80,-100,390
総レース数, 単勝, 複勝, 2連単, 2連複, 拡連複, 3連単, 3連複, 合計
12,-610,-230,-1200,-700,-730,-1200,60,-4610
