レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
19122212,1-2-3,3-1-4,-100,10,-100,-100,-100,-100,-100
19123017,1-2-3,3-1-2,-100,10,-100,-100,240,-100,620
19121613,1-3-4,1-3-5,10,0,120,100,30,-100,-100
19122112,1-2-3,1-2-3,60,0,210,30,60,700,330
19122722,1-2-4,6-4-5,-100,-100,-100,-100,-100,-100,-100
19120224,1-2-5,1-2-4,10,30,270,120,40,-100,-100
19120220,1-2-3,1-3-2,240,20,-100,-100,30,-100,90
19121218,1-2-5,1-2-3,260,40,900,320,220,-100,-100
19122423,1-2-3,3-1-4,-100,0,-100,-100,-100,-100,-100
19122323,1-2-5,1-3-4,50,60,-100,-100,-100,-100,-100
1912283,1-2-3,2-3-1,-100,-100,-100,-100,20,-100,100
19123014,1-2-3,1-2-5,20,0,70,20,30,-100,-100
19123015,1-2-3,3-1-6,-100,10,-100,-100,-100,-100,-100
19121624,1-2-3,1-2-3,30,0,140,190,60,510,200
19121122,2-1-4,5-6-2,-100,-100,-100,-100,-100,-100,-100
19121121,2-1-4,2-4-3,50,0,-100,-100,-100,-100,-100
19120411,1-2-3,1-3-2,0,70,-100,-100,20,-100,100
19122321,1-2-4,4-5-6,-100,-100,-100,-100,-100,-100,-100
19122915,1-3-4,1-5-6,30,10,-100,-100,-100,-100,-100
19120215,1-2-3,1-5-4,40,0,-100,-100,-100,-100,-100
19121511,1-2-5,2-1-5,-100,0,-100,60,10,-100,260
1912281,1-2-3,1-3-2,10,10,-100,-100,20,-100,260
1912147,1-2-3,1-3-2,30,0,-100,-100,90,-100,400
19120219,2-1-3,2-6-1,220,220,-100,-100,160,-100,-100
19122810,2-1-4,4-2-6,-100,10,-100,-100,-100,-100,-100
19122324,1-2-3,1-6-3,0,10,-100,-100,-100,-100,-100
1912218,1-2-3,5-4-1,-100,-100,-100,-100,-100,-100,-100
19121124,1-2-3,1-4-3,50,10,-100,-100,-100,-100,-100
19120512,1-3-2,1-4-3,10,10,-100,-100,40,-100,-100
1912056,1-5-4,1-2-3,40,0,-100,-100,-100,-100,-100
19123124,1-2-3,1-4-2,0,0,-100,-100,20,-100,-100
1912031,1-2-4,1-3-4,0,0,-100,-100,-100,-100,-100
19120223,1-2-3,1-3-4,30,0,-100,-100,-100,-100,-100
19122415,1-3-2,3-4-1,-100,-100,-100,-100,10,-100,-100
19121213,1-2-3,4-1-5,-100,50,-100,-100,-100,-100,-100
19123117,1-2-3,1-4-3,180,0,-100,-100,-100,-100,-100
19122719,1-2-3,1-5-2,160,140,-100,-100,100,-100,-100
19122318,1-2-3,5-1-6,-100,140,-100,-100,-100,-100,-100
19120217,2-1-3,2-5-3,240,0,-100,-100,-100,-100,-100
1912145,2-3-1,3-4-2,-100,-100,-100,-100,110,-100,-100
1912041,1-2-3,1-3-2,0,0,-100,-100,70,-100,370
19120412,1-2-4,1-4-2,30,0,-100,-100,50,-100,260
19123116,1-2-5,3-2-4,-100,-100,-100,-100,-100,-100,-100
19122322,1-2-3,1-2-3,110,10,130,150,20,350,100
1912157,1-3-2,4-5-3,-100,-100,-100,-100,-100,-100,-100
19121512,1-3-2,1-3-5,20,0,280,210,70,-100,-100
19122922,1-2-5,2-1-6,-100,0,-100,50,40,-100,-100
19122418,1-2-4,1-6-2,80,40,-100,-100,280,-100,-100
19121214,1-2-3,1-3-2,10,30,-100,-100,20,-100,100
19120118,2-1-3,1-2-4,-100,200,-100,540,210,-100,-100
1912052,1-2-3,4-1-2,-100,20,-100,-100,20,-100,-100
1912043,1-3-2,3-5-2,-100,-100,-100,-100,-100,-100,-100
1912143,1-2-3,1-3-2,20,0,-100,-100,120,-100,300
19121222,1-2-3,5-1-3,-100,30,-100,-100,-100,-100,-100
1912154,1-3-4,1-2-3,30,30,-100,-100,40,-100,-100
19123119,2-1-3,2-5-3,390,180,-100,-100,-100,-100,-100
19120116,1-2-4,1-4-3,10,10,-100,-100,-100,-100,-100
1912136,2-1-3,1-2-4,-100,20,-100,60,10,-100,-100
19120310,1-2-3,1-3-2,50,70,-100,-100,10,-100,350
19123114,1-2-3,1-3-2,110,90,-100,-100,50,-100,150
19123024,1-2-3,1-5-3,10,10,-100,-100,-100,-100,-100
1912226,1-2-3,1-5-2,160,0,-100,-100,460,-100,-100
19123020,1-2-3,5-1-2,-100,20,-100,-100,40,-100,-100
19120114,1-2-4,1-2-4,50,0,90,30,0,370,140
1912137,2-1-3,4-5-1,-100,-100,-100,-100,-100,-100,-100
19123120,2-1-4,2-6-3,310,20,-100,-100,-100,-100,-100
1912032,2-1-3,1-6-3,-100,-100,-100,-100,-100,-100,-100
19122920,1-2-3,3-4-6,-100,-100,-100,-100,-100,-100,-100
19121614,1-2-4,1-3-2,20,0,-100,-100,0,-100,-100
19121623,1-2-3,1-3-4,10,0,-100,-100,-100,-100,-100
1912135,1-3-4,1-4-3,20,0,-100,-100,50,-100,280
19120123,1-2-3,1-3-2,30,20,-100,-100,150,-100,410
1912049,2-1-3,1-4-3,-100,-100,-100,-100,-100,-100,-100
19120312,1-3-2,1-4-5,70,0,-100,-100,-100,-100,-100
19121510,1-2-3,2-1-4,-100,10,-100,70,30,-100,-100
1912039,1-2-4,5-1-6,-100,50,-100,-100,-100,-100,-100
1912138,2-1-3,1-4-5,-100,-100,-100,-100,-100,-100,-100
19122714,1-2-3,4-3-2,-100,-100,-100,-100,-100,-100,-100
19121412,1-2-5,1-2-4,20,0,140,80,50,-100,-100
19123113,1-2-3,1-2-3,20,50,270,140,110,910,270
19121123,2-1-4,2-4-3,50,30,-100,-100,-100,-100,-100
19122917,1-2-4,2-5-6,-100,-100,-100,-100,-100,-100,-100
1912051,1-3-2,1-2-3,20,0,-100,-100,10,-100,80
1912285,2-1-4,2-1-6,740,50,3110,650,80,-100,-100
1912141,1-2-3,1-5-2,20,0,-100,-100,120,-100,-100
1912229,1-2-4,5-1-2,-100,0,-100,-100,10,-100,-100
1912212,2-1-5,4-3-6,-100,-100,-100,-100,-100,-100,-100
19121115,1-3-4,3-4-2,-100,-100,-100,-100,-100,-100,-100
19121410,1-2-5,1-3-5,60,10,-100,-100,-100,-100,-100
1912152,1-2-3,1-2-3,120,0,110,20,10,300,100
19121411,1-2-3,1-3-2,30,0,-100,-100,10,-100,100
19122417,3-1-5,4-3-1,-100,0,-100,-100,120,-100,-100
19122914,1-2-3,2-1-5,-100,0,-100,90,30,-100,-100
19122110,2-1-3,2-3-1,140,150,-100,-100,20,-100,160
19120124,1-2-3,1-2-5,10,10,190,110,20,-100,-100
1912282,1-2-3,3-1-2,-100,0,-100,-100,40,-100,240
19121118,1-2-3,3-5-2,-100,-100,-100,-100,-100,-100,-100
19121621,1-2-5,1-5-2,50,10,-100,-100,50,-100,360
19121618,1-3-5,1-3-6,90,30,340,250,80,-100,-100
19121220,1-2-6,1-4-2,330,140,-100,-100,110,-100,-100
19122811,2-1-4,2-3-6,180,40,-100,-100,-100,-100,-100
19122315,1-3-2,1-3-4,100,10,150,130,20,-100,-100
19121616,1-2-3,1-3-5,30,0,-100,-100,-100,-100,-100
1912058,1-2-3,2-1-5,-100,30,-100,130,60,-100,-100
19122211,2-1-5,1-4-2,-100,-100,-100,-100,40,-100,-100
1912224,1-3-2,1-3-2,20,0,120,40,20,430,190
19123019,1-2-3,2-6-1,-100,-100,-100,-100,550,-100,-100
1912221,1-3-2,1-3-2,10,0,70,70,20,270,120
19120119,1-2-5,5-2-4,-100,-100,-100,-100,-100,-100,-100
19122414,1-2-4,1-5-3,60,80,-100,-100,-100,-100,-100
19120214,1-2-4,2-1-3,-100,0,-100,20,30,-100,-100
19123115,1-3-2,3-2-5,-100,-100,-100,-100,-100,-100,-100
19122317,1-2-3,3-4-5,-100,-100,-100,-100,-100,-100,-100
19122717,2-1-4,1-5-2,-100,-100,-100,-100,150,-100,-100
19123021,1-2-3,1-3-2,0,0,-100,-100,10,-100,120
19122919,1-2-3,5-1-4,-100,390,-100,-100,-100,-100,-100
1912047,1-3-5,3-4-1,-100,-100,-100,-100,110,-100,-100
19120410,1-2-3,1-4-3,0,0,-100,-100,-100,-100,-100
1912131,1-2-4,4-2-6,-100,-100,-100,-100,-100,-100,-100
19123122,1-2-3,2-1-5,-100,0,-100,50,20,-100,-100
19121219,1-2-3,4-5-2,-100,-100,-100,-100,-100,-100,-100
1912288,1-3-5,2-1-6,-100,60,-100,-100,-100,-100,-100
19121617,1-3-2,1-4-6,150,50,-100,-100,-100,-100,-100
19120121,1-3-2,4-2-1,-100,-100,-100,-100,-100,-100,-100
19122416,1-2-4,1-3-2,40,190,-100,-100,70,-100,-100
19120221,1-2-3,1-5-6,30,0,-100,-100,-100,-100,-100
19121619,1-2-3,1-4-3,10,0,-100,-100,-100,-100,-100
19122723,2-3-1,4-2-1,-100,90,-100,-100,-100,-100,-100
19122420,1-2-5,1-2-4,70,40,460,490,60,-100,-100
19121311,2-5-1,5-6-1,-100,-100,-100,-100,-100,-100,-100
19121120,1-2-3,4-1-6,-100,50,-100,-100,-100,-100,-100
19120222,1-2-3,5-2-4,-100,-100,-100,-100,-100,-100,-100
1912158,1-3-5,4-2-1,-100,-100,-100,-100,-100,-100,-100
1912213,1-3-2,5-3-4,-100,-100,-100,-100,-100,-100,-100
19122812,1-3-2,1-2-4,20,30,-100,-100,-100,-100,-100
1912214,1-2-3,1-4-3,30,10,-100,-100,-100,-100,-100
19122316,1-2-3,1-3-4,70,0,-100,-100,-100,-100,-100
19120510,1-2-4,1-2-3,80,0,210,60,60,-100,-100
1912046,3-1-4,2-3-4,-100,50,-100,-100,-100,-100,-100
19122924,1-3-2,4-2-5,-100,-100,-100,-100,-100,-100,-100
19123013,1-4-2,1-2-6,0,0,-100,-100,-100,-100,-100
19122422,1-5-2,1-4-3,10,0,-100,-100,-100,-100,-100
19122314,1-2-4,5-1-2,-100,10,-100,-100,20,-100,-100
1912055,2-1-3,3-5-4,-100,-100,-100,-100,-100,-100,-100
19122210,2-1-3,4-5-3,-100,-100,-100,-100,-100,-100,-100
19122720,1-2-3,4-5-6,-100,-100,-100,-100,-100,-100,-100
19121217,1-2-3,6-3-5,-100,-100,-100,-100,-100,-100,-100
19122913,1-2-5,4-3-1,-100,-100,-100,-100,-100,-100,-100
1912148,1-2-3,3-4-6,-100,-100,-100,-100,-100,-100,-100
19120216,1-3-2,1-4-3,70,0,-100,-100,80,-100,-100
19121310,1-2-5,4-5-2,-100,-100,-100,-100,-100,-100,-100
1912033,1-3-2,6-5-1,-100,-100,-100,-100,-100,-100,-100
19122916,1-2-4,2-1-4,-100,10,-100,410,90,-100,140
1912284,1-2-3,5-4-6,-100,-100,-100,-100,-100,-100,-100
19122724,1-2-3,1-2-3,20,0,200,120,10,540,130
19120511,1-2-4,1-2-5,20,40,80,140,20,-100,-100
19120213,1-2-3,1-3-5,0,30,-100,-100,-100,-100,-100
19120113,1-2-4,1-3-5,0,0,-100,-100,-100,-100,-100
19122320,1-2-3,1-2-6,20,20,370,280,40,-100,-100
19123023,1-5-4,4-5-1,-100,-100,-100,-100,210,-100,600
19122713,1-2-3,6-1-4,-100,0,-100,-100,-100,-100,-100
19121620,1-2-3,5-4-3,-100,-100,-100,-100,-100,-100,-100
19122424,1-2-3,1-2-4,10,0,110,120,20,-100,-100
19122721,1-3-2,1-5-3,150,70,-100,-100,110,-100,-100
19122923,1-2-3,1-2-4,20,0,90,90,30,-100,-100
19122313,1-2-3,1-4-5,0,0,-100,-100,-100,-100,-100
1912149,1-2-3,3-1-4,-100,0,-100,-100,-100,-100,-100
1912216,1-3-4,5-1-3,-100,0,-100,-100,0,-100,-100
19121223,1-2-3,5-2-3,-100,-100,-100,-100,-100,-100,-100
19121215,1-2-3,1-2-3,50,50,580,400,70,1120,150
1912287,2-1-3,1-4-2,-100,-100,-100,-100,170,-100,-100
19121221,2-1-3,1-2-4,-100,10,-100,260,70,-100,-100
19121224,1-2-4,1-2-5,80,20,290,160,80,-100,-100
1912048,1-2-4,2-1-4,-100,110,-100,200,10,-100,330
1912045,2-1-3,2-1-4,80,0,490,310,90,-100,-100
1912211,1-2-3,1-3-2,10,0,-100,-100,30,-100,140
1912042,1-2-3,1-2-3,60,0,90,50,0,340,140
19121615,1-3-2,1-3-4,50,0,130,80,20,-100,-100
19122419,1-2-3,3-2-4,-100,-100,-100,-100,-100,-100,-100
1912222,1-2-3,1-2-3,30,0,190,80,20,490,80
1912146,2-3-1,2-3-5,190,0,410,240,40,-100,-100
19123123,1-2-4,3-5-1,-100,-100,-100,-100,-100,-100,-100
