レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
191231145,1-2-4,1-4-6,80,0,-100,-100,-100,-100,-100
19122193,1-2-3,1-2-6,20,0,80,50,40,-100,-100
19120895,1-2-4,1-3-4,0,0,-100,-100,-100,-100,-100
191205113,1-4-3,1-2-6,10,10,-100,-100,-100,-100,-100
191231154,2-1-3,6-3-4,-100,-100,-100,-100,-100,-100,-100
191225122,1-2-3,1-2-4,30,0,40,100,30,-100,-100
19120887,2-1-3,2-4-6,200,180,-100,-100,-100,-100,-100
191224102,1-2-3,1-3-2,0,0,-100,-100,0,-100,50
19120885,2-1-4,2-4-5,290,190,-100,-100,-100,-100,-100
191225127,1-2-3,1-2-3,20,0,400,300,70,2190,890
191231146,1-2-3,1-2-5,30,0,250,0,20,-100,-100
191205118,1-3-2,1-3-2,0,0,200,100,70,1020,290
19122497,1-2-4,1-3-2,0,10,-100,-100,50,-100,-100
19120995,1-2-4,1-5-6,20,20,-100,-100,-100,-100,-100
191220119,3-1-2,1-4-2,-100,-100,-100,-100,-100,-100,-100
191205111,1-2-3,3-4-5,-100,-100,-100,-100,-100,-100,-100
19121395,2-1-3,1-2-5,-100,120,-100,260,70,-100,-100
191220118,1-3-2,1-2-5,30,110,-100,-100,-100,-100,-100
191230150,1-2-3,5-1-6,-100,0,-100,-100,-100,-100,-100
191216108,1-2-3,1-2-4,40,0,180,90,30,-100,-100
19121697,1-3-2,3-1-6,-100,0,-100,340,30,-100,-100
191214118,1-2-3,1-2-4,0,0,190,240,100,-100,-100
19121392,1-3-2,3-1-5,-100,0,-100,140,0,-100,-100
191224106,1-2-3,2-1-5,-100,0,-100,30,50,-100,-100
191217104,1-2-4,1-3-5,0,0,-100,-100,-100,-100,-100
191215112,1-3-4,1-3-4,0,0,120,70,0,470,190
191217106,1-2-4,3-5-2,-100,-100,-100,-100,-100,-100,-100
19120699,1-2-4,1-6-3,150,20,-100,-100,-100,-100,-100
19120996,1-2-4,1-4-2,20,50,-100,-100,20,-100,170
191231148,2-3-1,2-3-6,30,90,1670,770,200,-100,-100
191216101,1-2-5,1-4-2,130,0,-100,-100,50,-100,-100
191217100,1-3-4,3-4-5,-100,-100,-100,-100,-100,-100,-100
19121394,2-1-3,2-6-1,880,3760,-100,-100,20,-100,-100
191217101,1-2-3,6-1-2,-100,0,-100,-100,30,-100,-100
191215114,1-2-3,1-2-3,50,70,460,420,130,1080,270
19120894,1-2-5,3-1-5,-100,10,-100,-100,-100,-100,-100
19120796,1-3-2,1-3-5,0,0,100,0,20,-100,-100
191230147,1-4-5,4-5-6,-100,-100,-100,-100,-100,-100,-100
191224103,1-2-3,1-3-2,20,30,-100,-100,10,-100,40
19120993,1-2-3,1-2-4,90,0,340,180,150,-100,-100
191206101,1-2-3,1-3-4,50,230,-100,-100,-100,-100,-100
191223108,1-2-5,1-2-5,10,0,130,80,40,1620,870
191205116,1-2-3,5-6-4,-100,-100,-100,-100,-100,-100,-100
191214119,1-2-3,5-1-4,-100,30,-100,-100,-100,-100,-100
19120790,1-2-4,4-1-6,-100,50,-100,-100,-100,-100,-100
191215110,2-3-1,5-1-3,-100,-100,-100,-100,-100,-100,-100
