レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
19122857,1-2-5,1-2-5,50,20,250,130,20,880,320
19123170,1-2-4,1-3-5,70,0,-100,-100,-100,-100,-100
19121840,1-2-3,1-2-3,50,0,80,30,20,370,220
19120952,1-2-3,1-2-3,0,0,50,20,20,360,160
19122135,1-2-3,2-1-3,-100,0,-100,60,20,-100,160
19122858,1-2-3,1-3-2,0,0,-100,-100,70,-100,340
19120741,1-3-2,1-4-2,40,0,-100,-100,-100,-100,-100
19121745,1-2-5,1-2-6,80,80,430,10,40,-100,-100
19120837,1-2-3,1-4-2,0,0,-100,-100,30,-100,-100
19120951,1-2-3,1-2-3,60,10,220,210,50,1560,730
19122125,1-3-4,1-5-4,30,0,-100,-100,-100,-100,-100
19123069,1-2-4,1-3-4,30,20,-100,-100,-100,-100,-100
19121844,1-2-3,2-1-6,-100,40,-100,650,90,-100,-100
19122048,1-2-3,1-5-2,0,0,-100,-100,30,-100,-100
19120844,1-2-3,1-3-4,10,0,-100,-100,-100,-100,-100
19122134,1-2-3,2-3-1,-100,-100,-100,-100,20,-100,170
19122750,2-1-3,2-1-3,120,0,640,220,80,1760,240
19123071,2-1-4,4-1-5,-100,-100,-100,-100,-100,-100,-100
19120546,1-2-3,2-1-5,-100,0,-100,610,230,-100,-100
19123070,1-2-4,2-1-3,-100,0,-100,120,20,-100,-100
19121951,1-2-3,1-4-5,30,0,-100,-100,-100,-100,-100
19120949,1-2-3,1-4-5,10,0,-100,-100,-100,-100,-100
19120845,1-2-3,1-6-2,0,0,-100,-100,30,-100,-100
19123065,1-2-3,1-4-2,20,0,-100,-100,90,-100,-100
19122963,2-1-3,3-4-6,-100,-100,-100,-100,-100,-100,-100
19123166,1-2-3,1-4-2,20,10,-100,-100,30,-100,-100
19120740,1-2-3,1-2-3,0,0,60,70,10,350,170
19120748,1-2-3,2-1-3,-100,0,-100,110,20,-100,230
19122749,1-2-4,2-6-1,-100,-100,-100,-100,70,-100,-100
