レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
191226153,1-2-6,2-1-6,-100,0,-100,110,80,-100,1260
191201143,1-2-3,1-3-5,30,0,-100,-100,-100,-100,-100
191210118,1-2-3,1-2-3,60,0,150,80,30,490,150
191218125,1-2-3,2-1-4,-100,0,-100,40,0,-100,-100
191204112,1-2-3,5-1-2,-100,0,-100,-100,0,-100,-100
191216122,1-2-3,3-6-1,-100,-100,-100,-100,-100,-100,-100
191225145,1-2-3,1-2-4,90,10,230,150,50,-100,-100
191222101,1-2-3,1-2-3,180,10,220,30,50,580,160
191214140,1-2-3,5-6-1,-100,-100,-100,-100,-100,-100,-100
191202109,1-2-3,4-3-5,-100,-100,-100,-100,-100,-100,-100
191204120,1-2-3,1-2-5,0,0,100,80,20,-100,-100
191231169,1-2-3,3-2-1,-100,-100,-100,-100,70,-100,160
191214135,2-1-3,6-2-1,-100,20,-100,-100,60,-100,-100
191224131,1-2-3,1-2-3,60,0,920,1190,220,2300,910
191225152,2-1-3,1-5-6,-100,-100,-100,-100,-100,-100,-100
191204110,2-1-4,1-3-4,-100,-100,-100,-100,-100,-100,-100
191217124,1-2-3,1-2-4,0,0,190,40,50,-100,-100
191211113,1-2-3,5-4-1,-100,-100,-100,-100,-100,-100,-100
191223128,1-2-3,2-3-5,-100,-100,-100,-100,-100,-100,-100
191203109,1-2-3,4-5-6,-100,-100,-100,-100,-100,-100,-100
191207114,1-2-3,2-4-1,-100,-100,-100,-100,0,-100,-100
191217132,1-2-3,1-4-3,0,10,-100,-100,-100,-100,-100
191216126,2-1-4,2-1-4,80,0,450,270,60,1090,250
191225147,1-2-3,6-3-4,-100,-100,-100,-100,-100,-100,-100
191215139,1-2-3,1-5-6,100,90,-100,-100,-100,-100,-100
191211114,1-2-3,3-2-6,-100,-100,-100,-100,-100,-100,-100
191207109,1-2-5,4-1-2,-100,110,-100,-100,30,-100,-100
191203113,1-2-3,1-2-3,390,70,1980,1190,1230,7910,1660
191202111,2-3-1,2-6-3,480,70,-100,-100,100,-100,-100
191223127,1-2-4,1-4-6,30,20,-100,-100,-100,-100,-100
191230160,1-2-3,4-1-3,-100,0,-100,-100,-100,-100,-100
191207113,1-2-3,1-2-3,590,70,560,220,200,1520,300
191222102,1-2-3,1-5-2,0,20,-100,-100,330,-100,-100
191217131,1-2-3,1-2-4,10,60,200,100,0,-100,-100
191225148,1-2-3,3-4-2,-100,-100,-100,-100,-100,-100,-100
191201144,1-2-4,5-2-3,-100,-100,-100,-100,-100,-100,-100
191209110,1-2-3,2-3-1,-100,-100,-100,-100,90,-100,100
191226150,2-3-1,2-3-4,270,50,560,210,0,-100,-100
191217121,1-2-4,2-1-6,-100,40,-100,220,120,-100,-100
191211115,1-2-3,1-6-4,70,0,-100,-100,-100,-100,-100
191226151,1-2-3,1-2-5,20,10,170,120,100,-100,-100
191231179,1-2-4,1-5-3,10,0,-100,-100,-100,-100,-100
191208109,1-2-3,1-3-5,80,10,-100,-100,-100,-100,-100
191230161,2-3-1,2-3-6,30,90,70,90,20,-100,-100
191207116,1-4-2,3-1-5,-100,60,-100,-100,-100,-100,-100
191218126,1-2-3,1-6-2,0,0,-100,-100,120,-100,-100
191209118,2-1-4,1-3-6,-100,-100,-100,-100,-100,-100,-100
191225154,1-2-3,2-1-3,-100,10,-100,50,10,-100,160
191231175,1-3-2,5-6-4,-100,-100,-100,-100,-100,-100,-100
191222100,1-2-3,1-5-2,30,0,-100,-100,50,-100,-100
19122198,1-2-4,1-3-5,60,60,-100,-100,-100,-100,-100
191225153,1-2-3,1-2-5,30,0,200,80,70,-100,-100
191215135,1-2-3,6-3-5,-100,-100,-100,-100,-100,-100,-100
191204115,1-2-3,1-4-2,10,50,-100,-100,60,-100,-100
191214133,1-2-4,5-1-2,-100,40,-100,-100,110,-100,-100
191202110,1-2-3,5-6-2,-100,-100,-100,-100,-100,-100,-100
191223131,1-2-3,1-2-3,0,30,1270,780,240,2240,410
191215133,1-2-3,1-3-4,0,20,-100,-100,-100,-100,-100
191226155,2-1-3,1-2-6,-100,40,-100,230,80,-100,-100
191209112,1-2-4,1-2-5,0,30,670,530,100,-100,-100
191207117,1-2-3,3-4-5,-100,-100,-100,-100,-100,-100,-100
191214136,1-2-3,1-2-6,20,0,190,120,20,-100,-100
191203114,1-2-3,1-4-3,100,160,-100,-100,-100,-100,-100
191217130,1-2-3,1-3-5,50,0,-100,-100,-100,-100,-100
191223122,1-2-3,1-2-5,150,0,390,90,0,-100,-100
191218128,1-2-3,2-1-3,-100,0,-100,220,80,-100,120
191216127,1-2-3,5-3-6,-100,-100,-100,-100,-100,-100,-100
191221108,1-2-3,1-2-3,30,10,140,110,40,450,120
191210113,2-1-3,2-5-3,320,0,-100,-100,-100,-100,-100
191201134,2-1-4,2-4-6,320,20,-100,-100,-100,-100,-100
191225149,1-2-5,1-4-6,800,20,-100,-100,-100,-100,-100
191218122,1-2-4,1-2-6,120,30,640,480,210,-100,-100
191210109,1-3-2,3-1-6,-100,0,-100,180,70,-100,-100
191214138,2-1-3,6-1-2,-100,-100,-100,-100,280,-100,-100
191230157,1-2-5,2-1-3,-100,10,-100,350,60,-100,-100
191216123,1-2-3,4-1-2,-100,120,-100,-100,450,-100,-100
191222105,1-3-5,4-1-6,-100,20,-100,-100,-100,-100,-100
191224123,1-2-3,1-5-3,40,40,-100,-100,-100,-100,-100
191202112,1-2-4,1-2-3,10,20,230,100,50,-100,-100
191210119,1-2-3,2-5-4,-100,-100,-100,-100,-100,-100,-100
191211116,1-2-4,1-3-4,10,0,-100,-100,-100,-100,-100
191224128,1-3-2,5-3-2,-100,-100,-100,-100,-100,-100,-100
191230163,1-2-3,2-5-1,-100,-100,-100,-100,10,-100,-100
191224127,1-2-3,2-1-4,-100,30,-100,1090,120,-100,-100
191211110,1-2-5,4-1-6,-100,50,-100,-100,-100,-100,-100
191231173,1-2-3,6-3-2,-100,-100,-100,-100,-100,-100,-100
191207110,1-2-3,2-1-3,-100,0,-100,130,30,-100,370
191226148,1-2-3,1-3-5,10,10,-100,-100,-100,-100,-100
191208111,1-2-4,2-5-3,-100,-100,-100,-100,-100,-100,-100
191203119,1-2-4,3-5-6,-100,-100,-100,-100,-100,-100,-100
191230166,1-2-4,1-3-6,30,0,-100,-100,-100,-100,-100
191215141,1-2-3,1-3-5,60,10,-100,-100,-100,-100,-100
191210112,1-2-4,1-2-3,0,0,70,50,10,-100,-100
191223132,1-2-3,1-2-3,50,20,210,200,30,790,170
191210111,1-2-3,1-2-3,350,170,2220,790,250,3200,460
191204109,1-2-3,1-4-3,70,60,-100,-100,-100,-100,-100
191209113,1-2-3,5-3-6,-100,-100,-100,-100,-100,-100,-100
191210116,1-2-3,6-1-5,-100,10,-100,-100,-100,-100,-100
191216124,1-2-3,1-5-4,0,0,-100,-100,-100,-100,-100
191209115,1-2-4,4-1-3,-100,0,-100,-100,-100,-100,-100
191225146,1-2-3,1-2-6,100,0,170,70,0,-100,-100
191201133,1-3-2,3-2-1,-100,-100,-100,-100,50,-100,340
191230168,1-2-3,1-5-3,40,0,-100,-100,-100,-100,-100
191223126,2-4-3,1-4-2,-100,-100,-100,-100,420,-100,-100
191217122,2-1-3,1-3-5,-100,-100,-100,-100,-100,-100,-100
191217126,1-2-4,1-4-2,20,30,-100,-100,0,-100,40
191215136,1-2-4,1-3-5,10,10,-100,-100,-100,-100,-100
191221105,1-2-3,4-5-1,-100,-100,-100,-100,-100,-100,-100
191209109,1-2-5,5-1-3,-100,70,-100,-100,-100,-100,-100
191208119,1-2-3,1-2-4,10,0,190,200,30,-100,-100
191231172,1-2-3,1-2-3,0,20,130,80,60,570,330
191216131,2-1-3,1-2-6,-100,0,-100,60,60,-100,-100
191231170,1-2-3,1-4-6,30,30,-100,-100,-100,-100,-100
191224124,1-2-3,1-6-4,0,20,-100,-100,-100,-100,-100
191202118,1-2-4,1-2-6,20,0,150,140,30,-100,-100
191221101,2-1-3,2-6-5,130,10,-100,-100,-100,-100,-100
191223124,1-2-3,1-6-3,10,0,-100,-100,-100,-100,-100
191215134,1-3-2,3-2-5,-100,-100,-100,-100,-100,-100,-100
191204113,1-2-3,1-3-4,30,50,-100,-100,-100,-100,-100
191211111,1-2-3,3-4-5,-100,-100,-100,-100,-100,-100,-100
191222103,1-3-4,4-3-6,-100,-100,-100,-100,-100,-100,-100
191221104,1-2-3,2-5-4,-100,-100,-100,-100,-100,-100,-100
191201136,1-2-3,1-2-4,10,0,100,30,40,-100,-100
19122199,1-2-3,1-5-6,210,60,-100,-100,-100,-100,-100
191216128,1-2-3,5-4-1,-100,-100,-100,-100,-100,-100,-100
191230158,1-2-3,1-3-2,270,130,-100,-100,10,-100,1420
191216130,1-3-2,1-3-2,50,60,210,80,10,1610,800
191208110,1-2-5,2-5-1,-100,-100,-100,-100,80,-100,140
191217129,1-2-3,1-2-5,0,0,650,570,370,-100,-100
191230167,1-2-3,1-4-3,0,0,-100,-100,-100,-100,-100
191207112,1-2-4,1-6-5,0,0,-100,-100,-100,-100,-100
191222106,1-3-2,1-3-4,0,0,190,200,30,-100,-100
191231176,1-2-3,6-3-4,-100,-100,-100,-100,-100,-100,-100
191218132,1-2-4,5-6-1,-100,-100,-100,-100,-100,-100,-100
191203116,1-2-3,1-4-5,160,0,-100,-100,-100,-100,-100
191202113,1-2-3,4-1-5,-100,90,-100,-100,-100,-100,-100
191209117,1-2-4,1-3-6,0,10,-100,-100,-100,-100,-100
191218121,1-2-3,1-3-6,40,40,-100,-100,-100,-100,-100
191230164,1-2-4,1-2-6,40,0,710,840,180,-100,-100
191215140,1-2-3,1-4-5,10,10,-100,-100,-100,-100,-100
191211112,1-2-3,3-1-4,-100,10,-100,-100,-100,-100,-100
191210120,1-2-3,1-3-4,0,0,-100,-100,-100,-100,-100
191202116,1-2-3,5-1-6,-100,0,-100,-100,-100,-100,-100
191202115,1-3-2,2-1-6,-100,20,-100,-100,-100,-100,-100
191222107,1-2-3,1-6-4,50,0,-100,-100,-100,-100,-100
191221103,1-2-3,1-3-6,30,0,-100,-100,-100,-100,-100
191202114,1-2-3,2-1-6,-100,50,-100,170,100,-100,-100
191223123,1-2-3,1-3-2,440,150,-100,-100,80,-100,710
191231178,1-2-3,1-5-6,30,70,-100,-100,-100,-100,-100
191211119,1-2-3,1-2-3,10,0,190,90,60,750,370
191218123,1-2-3,3-1-5,-100,80,-100,-100,-100,-100,-100
191216125,1-2-3,1-2-4,270,190,600,350,110,-100,-100
191201135,1-2-3,4-2-1,-100,-100,-100,-100,70,-100,-100
191210110,1-2-3,1-4-5,270,110,-100,-100,-100,-100,-100
191225156,1-2-3,1-4-2,10,0,-100,-100,0,-100,-100
191226156,1-2-3,1-3-6,10,0,-100,-100,-100,-100,-100
191204119,1-3-4,1-5-6,140,70,-100,-100,-100,-100,-100
191208118,1-2-3,1-2-3,10,0,80,40,0,180,50
191204118,1-2-3,1-2-6,10,0,190,250,50,-100,-100
191215138,1-2-3,4-6-2,-100,-100,-100,-100,-100,-100,-100
191208120,1-2-3,1-3-4,0,0,-100,-100,-100,-100,-100
191215144,1-2-3,1-4-5,0,0,-100,-100,-100,-100,-100
191207111,1-2-3,1-4-3,360,60,-100,-100,-100,-100,-100
191204117,1-2-3,5-1-3,-100,0,-100,-100,-100,-100,-100
191209111,1-2-3,1-4-2,130,560,-100,-100,700,-100,-100
191207120,1-2-3,4-6-1,-100,-100,-100,-100,-100,-100,-100
191224121,1-2-3,1-2-5,170,10,450,350,130,-100,-100
191215143,1-3-2,1-4-2,40,20,-100,-100,-100,-100,-100
191203110,1-2-3,5-4-2,-100,-100,-100,-100,-100,-100,-100
191203117,1-2-3,1-4-3,10,0,-100,-100,-100,-100,-100
191222108,1-2-4,4-3-1,-100,-100,-100,-100,-100,-100,-100
191207118,1-2-3,1-6-2,10,10,-100,-100,10,-100,-100
191225151,1-2-3,1-6-5,70,10,-100,-100,-100,-100,-100
19122197,1-2-5,3-4-6,-100,-100,-100,-100,-100,-100,-100
191226149,1-2-3,1-2-4,0,0,110,70,70,-100,-100
19122298,1-2-3,5-2-4,-100,-100,-100,-100,-100,-100,-100
191204114,1-2-3,2-1-5,-100,0,-100,290,160,-100,-100
191216129,2-1-3,1-4-2,-100,-100,-100,-100,20,-100,-100
191223125,1-2-4,2-5-4,-100,-100,-100,-100,-100,-100,-100
191224132,1-2-3,2-6-4,-100,-100,-100,-100,-100,-100,-100
191226145,1-2-4,1-4-5,30,20,-100,-100,-100,-100,-100
191211117,2-1-3,3-2-1,-100,30,-100,-100,80,-100,260
191226152,1-2-3,2-6-3,-100,-100,-100,-100,-100,-100,-100
191210117,1-2-3,3-1-6,-100,0,-100,-100,-100,-100,-100
191217128,1-2-3,5-4-1,-100,-100,-100,-100,-100,-100,-100
191201139,1-2-4,1-2-6,30,0,190,40,30,-100,-100
191207119,1-2-3,1-2-4,30,10,180,50,10,-100,-100
191218129,1-3-2,1-4-6,40,0,-100,-100,-100,-100,-100
19122297,1-2-3,1-2-6,80,20,140,130,90,-100,-100
191204116,1-2-3,1-6-3,10,0,-100,-100,-100,-100,-100
191208117,1-2-3,1-3-4,10,0,-100,-100,-100,-100,-100
191203120,1-2-4,1-2-5,10,0,270,220,70,-100,-100
191224122,1-2-3,1-2-3,200,160,310,240,80,980,110
191218124,1-3-2,3-1-4,-100,0,-100,90,110,-100,-100
191208114,1-2-3,1-2-4,80,0,330,330,60,-100,-100
191218127,1-2-3,1-5-2,0,0,-100,-100,40,-100,-100
191201138,1-2-4,1-5-6,0,20,-100,-100,-100,-100,-100
191223130,1-2-3,1-3-5,40,0,-100,-100,-100,-100,-100
191221102,1-2-4,1-2-6,40,10,280,160,90,-100,-100
191218131,1-2-3,5-1-3,-100,0,-100,-100,-100,-100,-100
191201142,1-2-3,1-2-3,40,0,1100,950,250,1990,470
191230162,1-2-3,1-4-5,70,0,-100,-100,-100,-100,-100
191226154,1-3-2,1-3-5,20,40,230,130,20,-100,-100
191230159,1-2-3,2-4-1,-100,-100,-100,-100,160,-100,-100
191217127,1-2-3,2-1-3,-100,130,-100,740,110,-100,390
191202119,1-2-3,4-1-2,-100,30,-100,-100,0,-100,-100
191221100,1-2-3,2-1-3,-100,0,-100,60,40,-100,280
191214144,1-2-3,3-5-2,-100,-100,-100,-100,-100,-100,-100
191210114,2-1-3,5-2-6,-100,260,-100,-100,-100,-100,-100
191211120,1-2-4,1-6-2,30,0,-100,-100,50,-100,-100
191217123,1-3-2,1-5-2,150,100,-100,-100,-100,-100,-100
191208113,1-3-2,1-5-6,190,180,-100,-100,-100,-100,-100
191209116,1-2-5,1-4-6,150,10,-100,-100,-100,-100,-100
191230165,1-2-3,1-4-2,90,0,-100,-100,160,-100,-100
191215142,1-2-4,1-3-6,0,10,-100,-100,-100,-100,-100
191231180,1-2-3,1-3-2,10,0,-100,-100,10,-100,170
191224129,1-2-3,1-2-3,0,0,100,70,0,500,390
191224125,2-1-4,3-4-2,-100,-100,-100,-100,-100,-100,-100
191222104,1-4-3,3-1-4,-100,0,-100,-100,140,-100,320
191223121,1-3-2,1-5-2,70,130,-100,-100,-100,-100,-100
191214143,1-2-5,1-2-5,0,0,80,100,30,490,330
19122299,1-2-3,1-2-3,40,0,150,120,30,740,310
191202117,1-2-3,1-3-4,10,20,-100,-100,-100,-100,-100
191218130,1-3-2,3-1-6,-100,0,-100,150,10,-100,-100
191202120,1-2-4,1-4-5,0,20,-100,-100,-100,-100,-100
191216121,1-2-3,2-1-6,-100,0,-100,180,60,-100,-100
191201140,1-2-3,1-4-2,0,0,-100,-100,0,-100,-100
191209120,1-2-3,1-4-6,30,0,-100,-100,-100,-100,-100
191214137,1-2-3,2-6-3,-100,-100,-100,-100,-100,-100,-100
191221107,1-2-4,1-2-6,80,20,180,20,50,-100,-100
191211118,1-2-4,1-5-2,50,30,-100,-100,80,-100,-100
191207115,1-3-2,1-4-5,20,0,-100,-100,-100,-100,-100
191214134,1-2-3,3-6-1,-100,-100,-100,-100,-100,-100,-100
191215137,2-1-3,5-2-6,-100,40,-100,-100,-100,-100,-100
191217125,1-2-3,2-6-5,-100,-100,-100,-100,-100,-100,-100
191201141,1-2-3,4-2-1,-100,-100,-100,-100,110,-100,-100
191226146,1-2-4,6-1-4,-100,80,-100,-100,-100,-100,-100
191203112,1-2-4,1-2-5,30,20,420,500,150,-100,-100
191214139,1-2-3,1-5-3,40,10,-100,-100,-100,-100,-100
191210115,1-2-3,5-6-4,-100,-100,-100,-100,-100,-100,-100
191209114,1-2-4,6-2-1,-100,-100,-100,-100,50,-100,-100
191214142,1-2-3,1-3-4,140,60,-100,-100,-100,-100,-100
191208115,1-2-3,1-3-5,60,20,-100,-100,-100,-100,-100
191224126,1-2-4,2-6-5,-100,-100,-100,-100,-100,-100,-100
191223129,1-3-2,1-3-2,50,0,290,220,40,1150,410
191226147,1-2-3,3-4-6,-100,-100,-100,-100,-100,-100,-100
191201137,1-2-3,1-3-6,110,70,-100,-100,-100,-100,-100
191203118,1-2-3,1-5-3,70,30,-100,-100,-100,-100,-100
191211109,1-2-4,1-4-5,0,10,-100,-100,-100,-100,-100
191203111,1-2-3,3-1-2,-100,140,-100,-100,110,-100,490
191216132,1-2-4,1-5-3,20,0,-100,-100,-100,-100,-100
191203115,1-2-3,2-1-3,-100,20,-100,330,130,-100,430
191204111,2-1-3,1-2-4,-100,180,-100,200,10,-100,-100
191208116,1-2-3,1-3-2,60,20,-100,-100,80,-100,170
191231174,1-3-2,1-6-2,0,0,-100,-100,-100,-100,-100
191208112,1-2-3,1-3-2,0,0,-100,-100,40,-100,320
191231177,2-1-3,3-5-2,-100,-100,-100,-100,-100,-100,-100
191214141,1-2-3,3-5-1,-100,-100,-100,-100,-100,-100,-100
191221106,1-2-4,1-3-4,20,60,-100,-100,-100,-100,-100
191225155,1-2-3,3-1-2,-100,30,-100,-100,50,-100,200
191231171,1-2-4,2-4-6,-100,-100,-100,-100,-100,-100,-100
191224130,1-2-3,1-2-4,0,0,190,90,290,-100,-100
191225150,1-2-3,1-5-2,150,10,-100,-100,60,-100,-100
総レース数, 単勝, 複勝, 2連単, 2連複, 拡連複, 3連単, 3連複, 合計
264,-590,-680,-210,-80,-3130,5230,-6190,-5650
