レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
200105218,1-3-4,4-6-3,-100,-100,-100,-100,-100,-100,-100
200109115,1-2-3,4-3-1,-100,-100,-100,-100,-100,-100,-100
200112139,1-2-6,1-3-6,270,110,-100,-100,-100,-100,-100
200106180,1-2-3,1-2-4,20,0,310,270,70,-100,-100
200109118,2-1-3,2-1-5,640,160,1570,340,80,-100,-100
200107151,2-1-6,1-2-5,-100,70,-100,420,130,-100,-100
200112144,1-2-3,1-2-4,40,0,160,70,10,-100,-100
200105224,1-5-3,1-3-2,250,0,-100,-100,-100,-100,-100
200112142,2-1-4,1-5-6,-100,-100,-100,-100,-100,-100,-100
200103209,3-1-5,5-3-1,-100,0,-100,-100,370,-100,1290
200106171,1-3-6,1-3-2,180,60,2350,2190,420,-100,-100
200105219,3-2-5,2-1-6,-100,-100,-100,-100,-100,-100,-100
200107147,1-2-4,3-5-4,-100,-100,-100,-100,-100,-100,-100
200105226,1-2-6,2-3-1,-100,-100,-100,-100,60,-100,-100
200109111,1-4-3,5-1-3,-100,40,-100,-100,-100,-100,-100
200105227,1-5-2,1-4-2,20,70,-100,-100,-100,-100,-100
200112134,1-2-4,1-5-4,50,0,-100,-100,-100,-100,-100
200106174,1-3-4,4-3-5,-100,-100,-100,-100,-100,-100,-100
200103212,2-5-1,1-6-2,-100,-100,-100,-100,-100,-100,-100
200106178,1-2-4,5-2-1,-100,-100,-100,-100,50,-100,-100
200106170,1-2-4,4-5-1,-100,-100,-100,-100,-100,-100,-100
200107149,2-5-1,3-4-1,-100,-100,-100,-100,-100,-100,-100
200106175,1-3-6,1-4-2,70,0,-100,-100,-100,-100,-100
200104202,6-4-2,2-1-3,-100,-100,-100,-100,-100,-100,-100
200112137,1-5-2,1-5-3,0,0,760,130,50,-100,-100
200105221,4-3-2,5-3-2,-100,-100,-100,-100,-100,-100,-100
200103213,1-2-4,3-4-6,-100,-100,-100,-100,-100,-100,-100
200109113,1-2-4,3-1-4,-100,30,-100,-100,-100,-100,-100
200112133,1-2-5,2-5-3,-100,-100,-100,-100,-100,-100,-100
200105222,1-2-5,5-6-2,-100,-100,-100,-100,-100,-100,-100
200107154,1-2-5,4-5-6,-100,-100,-100,-100,-100,-100,-100
200104196,1-2-3,1-4-2,330,290,-100,-100,70,-100,-100
200105223,2-1-5,1-4-2,-100,-100,-100,-100,40,-100,-100
200105225,1-4-6,1-2-4,30,40,-100,-100,310,-100,-100
200104194,1-2-3,1-2-3,70,80,1190,480,290,4420,1120
200105220,5-2-3,1-4-3,-100,-100,-100,-100,-100,-100,-100
200106179,3-1-2,1-2-5,-100,-100,-100,-100,-100,-100,-100
200104204,1-5-4,1-6-3,30,10,-100,-100,-100,-100,-100
200109116,1-5-2,5-4-2,-100,-100,-100,-100,-100,-100,-100
200104203,1-2-3,1-4-2,70,0,-100,-100,170,-100,-100
200109120,3-1-2,4-2-1,-100,-100,-100,-100,-100,-100,-100
200107148,2-1-3,6-5-3,-100,-100,-100,-100,-100,-100,-100
200103216,2-3-5,4-3-6,-100,-100,-100,-100,-100,-100,-100
200109112,1-2-4,1-5-4,30,20,-100,-100,-100,-100,-100
200109110,1-2-5,5-2-1,-100,-100,-100,-100,100,-100,440
200103215,1-6-4,1-3-6,30,0,-100,-100,90,-100,-100
200112135,5-2-1,1-5-2,-100,20,-100,-100,160,-100,70
200112143,4-1-6,1-2-3,-100,-100,-100,-100,-100,-100,-100
200104195,1-2-5,4-2-5,-100,-100,-100,-100,-100,-100,-100
200106176,1-2-3,1-3-2,30,70,-100,-100,110,-100,620
200107155,1-5-3,2-3-6,-100,-100,-100,-100,-100,-100,-100
200103214,1-3-2,1-2-6,120,80,-100,-100,-100,-100,-100
200103208,1-2-3,3-2-5,-100,-100,-100,-100,-100,-100,-100
200112138,2-4-1,2-1-5,40,10,-100,-100,-100,-100,-100
200103207,2-3-4,3-4-6,-100,-100,-100,-100,-100,-100,-100
200109119,1-4-2,1-4-5,90,20,680,490,140,-100,-100
200106169,1-2-3,5-4-3,-100,-100,-100,-100,-100,-100,-100
200104193,1-2-6,2-4-3,-100,-100,-100,-100,-100,-100,-100
200103206,1-2-4,1-4-2,280,180,-100,-100,410,-100,700
200105217,1-2-6,3-1-2,-100,10,-100,-100,30,-100,-100
200106173,1-2-4,1-2-3,50,20,540,400,220,-100,-100
200109117,1-2-4,2-6-1,-100,-100,-100,-100,120,-100,-100
200107153,1-2-4,1-3-2,30,0,-100,-100,20,-100,-100
200104199,1-2-3,1-3-5,110,50,-100,-100,-100,-100,-100
200106177,1-2-3,1-3-5,10,0,-100,-100,-100,-100,-100
200105228,1-3-2,4-5-1,-100,-100,-100,-100,-100,-100,-100
200104198,1-2-6,2-3-6,-100,-100,-100,-100,-100,-100,-100
200112141,1-2-3,3-1-4,-100,30,-100,-100,-100,-100,-100
200107146,1-2-3,5-1-4,-100,30,-100,-100,-100,-100,-100
200107145,1-2-6,4-5-2,-100,-100,-100,-100,-100,-100,-100
200107152,3-1-4,3-2-4,430,160,-100,-100,-100,-100,-100
200107156,1-2-3,5-6-2,-100,-100,-100,-100,-100,-100,-100
200109114,1-3-4,4-2-6,-100,-100,-100,-100,-100,-100,-100
200107150,1-3-4,4-6-1,-100,-100,-100,-100,-100,-100,-100
200104197,1-2-3,5-1-3,-100,170,-100,-100,-100,-100,-100
200103210,4-3-1,3-2-5,-100,-100,-100,-100,-100,-100,-100
200112140,1-4-2,1-6-2,90,10,-100,-100,-100,-100,-100
200104201,2-1-3,2-1-4,460,550,2780,640,180,-100,-100
200104200,2-4-3,1-5-6,-100,-100,-100,-100,-100,-100,-100
200103211,1-4-2,1-3-6,0,0,-100,-100,-100,-100,-100
200112136,3-1-5,6-1-4,-100,-100,-100,-100,-100,-100,-100
200106172,1-3-2,2-5-4,-100,-100,-100,-100,-100,-100,-100
200103205,2-1-3,5-2-4,-100,230,-100,-100,-100,-100,-100
200109109,1-3-2,1-3-2,170,50,620,330,20,960,90
総レース数, 単勝, 複勝, 2連単, 2連複, 拡連複, 3連単, 3連複, 合計
84,-1260,-1630,3560,-1540,-2080,-2820,-3370,-9140
