レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
19121284,1-2-3,4-2-3,-100,-100,-100,-100,-100,-100,-100
191228100,2-1-4,2-1-3,0,0,480,260,10,-100,-100
191228106,1-2-3,3-5-4,-100,-100,-100,-100,-100,-100,-100
19121596,1-3-2,3-1-4,-100,0,-100,220,60,-100,-100
19121184,1-2-4,1-3-2,60,0,-100,-100,70,-100,-100
19120392,1-2-6,1-3-2,230,200,-100,-100,100,-100,-100
19122788,1-2-4,2-1-6,-100,50,-100,220,220,-100,-100
19121273,1-2-3,1-5-4,40,90,-100,-100,-100,-100,-100
19120396,1-2-3,1-3-5,20,20,-100,-100,-100,-100,-100
19120289,1-2-3,1-2-5,300,30,330,280,60,-100,-100
19122785,1-2-3,1-4-3,240,20,-100,-100,-100,-100,-100
19121174,2-1-3,6-4-3,-100,-100,-100,-100,-100,-100,-100
19121586,1-2-3,1-4-3,70,0,-100,-100,-100,-100,-100
19120294,1-2-3,2-1-4,-100,150,-100,530,10,-100,-100
19120288,1-2-4,1-5-4,50,0,-100,-100,-100,-100,-100
19120582,1-2-3,1-2-3,70,0,170,90,40,490,250
19121275,1-2-4,3-2-4,-100,-100,-100,-100,-100,-100,-100
191229111,1-2-3,1-2-4,20,0,160,110,10,-100,-100
19121679,1-2-4,2-6-1,-100,-100,-100,-100,80,-100,-100
19121675,1-2-6,1-2-3,0,0,210,130,20,-100,-100
19121674,1-3-2,1-2-4,0,20,-100,-100,-100,-100,-100
19122787,1-2-3,3-4-2,-100,-100,-100,-100,-100,-100,-100
19121490,1-2-3,1-3-2,100,0,-100,-100,30,-100,80
19121279,1-2-3,2-1-3,-100,10,-100,30,40,-100,160
191201102,1-2-3,1-2-3,0,10,770,760,280,3780,970
191201108,1-2-3,1-2-5,0,0,210,160,70,-100,-100
19120390,1-3-2,1-3-6,40,0,100,50,20,-100,-100
19120580,1-2-3,2-4-1,-100,-100,-100,-100,0,-100,-100
19121274,1-2-3,4-3-5,-100,-100,-100,-100,-100,-100,-100
191225101,1-2-3,1-3-2,0,0,-100,-100,110,-100,280
191201104,1-2-3,1-5-6,40,20,-100,-100,-100,-100,-100
19121183,1-3-5,1-2-4,10,0,-100,-100,-100,-100,-100
19120198,1-2-3,4-1-2,-100,0,-100,-100,190,-100,-100
19122789,1-2-3,1-2-6,30,0,170,80,100,-100,-100
191229120,1-2-3,1-4-2,0,0,-100,-100,40,-100,-100
19121496,1-2-4,1-4-6,60,0,-100,-100,-100,-100,-100
19121594,1-3-2,1-4-5,0,0,-100,-100,-100,-100,-100
19121361,1-3-2,1-2-6,10,0,-100,-100,-100,-100,-100
19120291,1-2-3,1-5-3,50,0,-100,-100,-100,-100,-100
19121683,1-2-3,3-4-1,-100,-100,-100,-100,-100,-100,-100
19120495,1-2-3,1-4-3,10,0,-100,-100,-100,-100,-100
19121590,1-2-3,1-2-6,10,10,450,380,190,-100,-100
19120489,1-2-4,2-3-6,-100,-100,-100,-100,-100,-100,-100
19120290,1-2-3,2-1-4,-100,30,-100,580,160,-100,-100
19121588,1-2-3,1-2-3,0,0,220,170,80,510,130
19121366,1-2-3,1-4-3,60,20,-100,-100,-100,-100,-100
19123099,1-2-3,1-3-4,80,0,-100,-100,-100,-100,-100
191228108,1-2-3,1-4-2,0,0,-100,-100,50,-100,-100
191226103,1-2-3,5-1-4,-100,250,-100,-100,-100,-100,-100
19120578,1-2-3,5-2-1,-100,-100,-100,-100,160,-100,-100
19122598,2-1-4,1-4-2,-100,-100,-100,-100,30,-100,200
191230106,1-2-3,1-4-3,70,60,-100,-100,-100,-100,-100
191226102,1-2-3,1-3-2,60,0,-100,-100,150,-100,330
19121179,1-2-3,1-3-4,40,0,-100,-100,-100,-100,-100
191201101,1-2-3,1-6-3,60,50,-100,-100,-100,-100,-100
19120496,1-2-4,1-4-3,40,20,-100,-100,-100,-100,-100
191228107,1-3-2,1-3-2,0,0,140,50,20,580,260
19121180,1-2-6,4-2-6,-100,-100,-100,-100,-100,-100,-100
19122697,1-2-3,1-3-5,20,20,-100,-100,-100,-100,-100
191229113,1-2-3,3-1-2,-100,0,-100,-100,30,-100,420
191225100,1-2-3,4-1-2,-100,190,-100,-100,220,-100,-100
191226101,1-2-3,2-4-3,-100,-100,-100,-100,-100,-100,-100
19121282,1-2-6,1-4-2,10,0,-100,-100,20,-100,-100
19121280,1-2-3,1-3-5,50,0,-100,-100,-100,-100,-100
191201107,1-2-5,5-4-6,-100,-100,-100,-100,-100,-100,-100
19120490,1-2-3,4-3-1,-100,-100,-100,-100,-100,-100,-100
19121681,1-2-3,1-6-5,20,0,-100,-100,-100,-100,-100
19121367,1-2-4,6-1-5,-100,30,-100,-100,-100,-100,-100
191225105,1-2-3,4-5-2,-100,-100,-100,-100,-100,-100,-100
19121182,1-2-3,2-1-6,-100,0,-100,160,110,-100,-100
19121371,1-3-4,5-4-1,-100,-100,-100,-100,-100,-100,-100
19121177,2-1-3,1-2-6,-100,0,-100,20,20,-100,-100
19120296,1-2-3,1-3-5,30,20,-100,-100,-100,-100,-100
19120488,1-2-3,3-2-1,-100,-100,-100,-100,230,-100,1090
19120491,1-2-5,1-6-2,50,10,-100,-100,170,-100,-100
19120583,1-2-4,1-2-5,10,0,110,50,50,-100,-100
191228102,1-2-3,1-3-6,0,0,-100,-100,-100,-100,-100
191225106,1-3-2,1-5-3,260,0,-100,-100,70,-100,-100
191230100,1-2-3,1-4-3,100,50,-100,-100,-100,-100,-100
19121585,1-2-3,1-2-5,80,20,1640,1160,380,-100,-100
19120487,1-2-5,1-4-6,20,0,-100,-100,-100,-100,-100
19123098,1-2-3,3-2-1,-100,-100,-100,-100,30,-100,280
