レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
191231111,1-3-2,6-4-2,-100,-100,-100,-100,-100,-100,-100
191230112,1-3-2,3-4-2,-100,-100,-100,-100,-100,-100,-100
19121869,1-2-3,1-2-3,20,10,290,210,70,1750,680
19121985,1-2-3,1-5-3,10,0,-100,-100,-100,-100,-100
191201115,1-2-3,1-2-3,110,50,230,160,20,440,50
19121992,1-2-3,2-1-6,-100,30,-100,150,70,-100,-100
19121989,1-2-3,3-1-2,-100,0,-100,-100,40,-100,120
191230117,1-2-3,3-2-1,-100,-100,-100,-100,50,-100,170
191228112,1-2-3,3-1-6,-100,10,-100,-100,-100,-100,-100
19121765,1-2-3,1-3-5,20,10,-100,-100,-100,-100,-100
191231110,1-2-3,1-4-2,140,40,-100,-100,190,-100,-100
19122151,1-2-3,3-2-5,-100,-100,-100,-100,-100,-100,-100
19122072,1-2-3,1-3-4,0,0,-100,-100,-100,-100,-100
19122070,1-2-3,1-2-5,10,10,180,100,50,-100,-100
191231119,2-1-3,1-2-4,-100,0,-100,50,10,-100,-100
19121763,1-2-3,1-2-5,20,0,240,170,80,-100,-100
19122153,1-2-3,1-2-6,20,0,140,70,60,-100,-100
191228111,1-3-2,1-3-5,180,40,300,180,30,-100,-100
19122255,1-2-3,1-4-5,30,10,-100,-100,-100,-100,-100
19122062,1-2-3,1-5-3,90,60,-100,-100,-100,-100,-100
191229132,1-2-4,1-4-2,30,0,-100,-100,10,-100,200
191229130,1-2-3,1-3-2,20,0,-100,-100,20,-100,190
19121770,1-2-4,1-5-2,0,0,-100,-100,150,-100,-100
191229123,1-2-3,2-1-6,-100,0,-100,20,10,-100,-100
19121995,1-2-4,1-4-2,20,10,-100,-100,20,-100,250
191228113,1-2-3,1-5-2,0,0,-100,-100,110,-100,-100
19122252,2-1-3,1-3-2,-100,-100,-100,-100,120,-100,380
191201119,2-1-3,1-3-2,-100,-100,-100,-100,150,-100,350
19121868,1-2-3,4-2-3,-100,-100,-100,-100,-100,-100,-100
19122249,1-2-3,3-1-4,-100,0,-100,-100,-100,-100,-100
19122253,1-2-3,1-4-3,60,0,-100,-100,-100,-100,-100
19121861,1-2-3,1-3-2,50,0,-100,-100,10,-100,160
191229131,1-2-4,1-2-5,60,0,130,60,60,-100,-100
