レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
191205146,1-6-4,3-4-2,-100,-100,-100,-100,-100,-100,-100
191229210,2-6-1,4-2-3,-100,20,-100,-100,-100,-100,-100
191228203,5-2-1,4-5-2,-100,160,-100,-100,480,-100,-100
191214178,5-2-4,1-4-2,-100,-100,-100,-100,-100,-100,-100
191215171,4-6-3,2-4-1,-100,120,-100,-100,-100,-100,-100
191231206,4-5-3,1-2-4,-100,-100,-100,-100,-100,-100,-100
191215169,5-1-3,5-1-3,770,90,1910,490,70,10500,990
191216151,1-2-4,3-1-6,-100,0,-100,-100,-100,-100,-100
191216155,2-5-1,2-1-6,130,100,-100,-100,-100,-100,-100
191208144,1-5-6,1-4-6,20,10,-100,-100,-100,-100,-100
191213143,3-6-4,1-2-3,-100,-100,-100,-100,-100,-100,-100
191231216,6-5-2,4-1-2,-100,-100,-100,-100,-100,-100,-100
191204156,5-1-4,1-5-4,-100,220,-100,790,160,-100,690
191215180,3-1-2,1-3-4,-100,130,-100,350,220,-100,-100
191203147,6-2-5,3-5-6,-100,-100,-100,-100,-100,-100,-100
191207135,5-4-2,4-1-6,-100,-100,-100,-100,-100,-100,-100
191208142,5-6-4,3-4-2,-100,-100,-100,-100,-100,-100,-100
191229206,4-3-1,4-5-6,110,40,-100,-100,-100,-100,-100
191231209,4-3-6,3-1-5,-100,-100,-100,-100,-100,-100,-100
191229211,6-2-1,1-6-2,-100,90,-100,-100,280,-100,400
191213137,3-2-6,6-5-4,-100,-100,-100,-100,-100,-100,-100
191228196,2-3-6,1-3-4,-100,-100,-100,-100,-100,-100,-100
191208137,1-2-5,5-1-2,-100,20,-100,-100,260,-100,560
191216150,4-2-5,5-6-2,-100,-100,-100,-100,-100,-100,-100
191231211,1-6-4,1-2-4,20,20,-100,-100,-100,-100,-100
191203156,5-1-2,2-6-1,-100,-100,-100,-100,-100,-100,-100
191216156,2-5-6,1-3-2,-100,-100,-100,-100,-100,-100,-100
191229207,2-3-6,5-2-3,-100,450,-100,-100,330,-100,-100
191215172,2-6-1,1-4-3,-100,-100,-100,-100,-100,-100,-100
191206133,5-1-4,3-1-5,-100,-100,-100,-100,360,-100,-100
191215176,5-1-3,3-2-6,-100,-100,-100,-100,-100,-100,-100
191205155,1-5-6,1-2-4,30,60,-100,-100,-100,-100,-100
191215179,5-4-1,3-5-6,-100,200,-100,-100,-100,-100,-100
191214177,4-5-2,3-4-1,-100,460,-100,-100,-100,-100,-100
191213134,3-2-6,3-1-6,820,220,-100,-100,-100,-100,-100
191231208,6-3-4,1-4-2,-100,-100,-100,-100,-100,-100,-100
191207139,6-1-5,3-4-1,-100,-100,-100,-100,-100,-100,-100
191213136,6-2-5,1-5-6,-100,-100,-100,-100,-100,-100,-100
191228198,4-5-3,3-6-2,-100,-100,-100,-100,-100,-100,-100
191205153,6-3-4,1-6-4,-100,470,-100,-100,-100,-100,-100
191228193,5-1-3,3-5-4,-100,420,-100,-100,-100,-100,-100
191213142,4-3-2,4-6-1,180,60,-100,-100,-100,-100,-100
191213135,2-1-5,2-3-4,20,60,-100,-100,-100,-100,-100
191206135,1-3-5,2-4-3,-100,-100,-100,-100,-100,-100,-100
191228199,3-1-5,1-4-2,-100,-100,-100,-100,-100,-100,-100
191230197,3-5-1,2-3-4,-100,0,-100,-100,-100,-100,-100
191216148,5-3-6,4-2-3,-100,-100,-100,-100,-100,-100,-100
191229216,2-4-3,2-5-4,360,130,-100,-100,890,-100,-100
191229212,3-6-4,5-4-3,-100,-100,-100,-100,-100,-100,-100
191214169,3-5-6,1-2-4,-100,-100,-100,-100,-100,-100,-100
191213138,1-3-5,2-1-4,-100,180,-100,-100,-100,-100,-100
191228201,4-5-3,5-4-1,-100,900,-100,2520,500,-100,-100
191228204,3-5-2,1-2-4,-100,-100,-100,-100,-100,-100,-100
191213141,2-6-3,1-2-3,-100,170,-100,-100,-100,-100,-100
191208138,6-5-4,2-1-4,-100,-100,-100,-100,-100,-100,-100
191205148,5-3-2,1-2-6,-100,-100,-100,-100,-100,-100,-100
191214175,3-5-1,1-4-3,-100,-100,-100,-100,-100,-100,-100
191207134,1-3-4,4-2-1,-100,-100,-100,-100,-100,-100,-100
191206141,4-1-6,2-1-4,-100,-100,-100,-100,160,-100,-100
191204147,4-6-2,1-2-4,-100,-100,-100,-100,-100,-100,-100
191207144,1-4-2,2-3-1,-100,-100,-100,-100,-100,-100,-100
191203153,3-2-4,3-1-2,110,40,-100,-100,260,-100,-100
191214179,4-3-6,1-2-4,-100,-100,-100,-100,-100,-100,-100
191205147,5-2-6,2-3-5,-100,-100,-100,-100,160,-100,-100
191229214,6-4-5,1-2-5,-100,-100,-100,-100,-100,-100,-100
191207141,4-5-6,1-4-5,-100,40,-100,-100,260,-100,-100
191208134,6-2-5,6-3-5,1320,750,-100,-100,-100,-100,-100
191231214,4-6-2,1-5-2,-100,-100,-100,-100,-100,-100,-100
191206136,6-4-1,2-1-3,-100,-100,-100,-100,-100,-100,-100
191204154,1-5-3,2-1-4,-100,10,-100,-100,-100,-100,-100
191205149,1-5-4,3-4-1,-100,-100,-100,-100,-100,-100,-100
191207137,2-3-5,1-2-6,-100,70,-100,-100,-100,-100,-100
191206144,2-4-1,1-6-2,-100,-100,-100,-100,-100,-100,-100
191208136,5-2-6,6-4-5,-100,-100,-100,-100,-100,-100,-100
191229213,5-4-2,1-5-2,-100,580,-100,-100,-100,-100,-100
191231215,4-3-5,1-4-5,-100,90,-100,-100,-100,-100,-100
191207140,3-1-4,4-5-1,-100,-100,-100,-100,-100,-100,-100
191229209,6-1-4,5-2-3,-100,-100,-100,-100,-100,-100,-100
191214176,3-2-6,1-5-2,-100,-100,-100,-100,-100,-100,-100
191216153,6-3-5,1-3-5,-100,-100,-100,-100,-100,-100,-100
191214180,1-6-4,4-2-1,-100,-100,-100,-100,-100,-100,-100
191205152,5-2-1,2-1-4,-100,-100,-100,-100,-100,-100,-100
191230201,1-6-3,4-3-5,-100,-100,-100,-100,-100,-100,-100
191207143,3-6-1,1-3-5,-100,240,-100,-100,-100,-100,-100
191207133,3-4-5,3-6-1,420,200,-100,-100,-100,-100,-100
191208133,5-3-1,3-1-6,-100,-100,-100,-100,-100,-100,-100
191205150,3-4-5,5-2-4,-100,-100,-100,-100,-100,-100,-100
191204148,3-4-5,2-4-6,-100,-100,-100,-100,-100,-100,-100
191204146,2-1-6,4-3-2,-100,-100,-100,-100,-100,-100,-100
191204151,1-4-6,2-1-4,-100,30,-100,-100,50,-100,-100
191230194,1-5-6,4-2-5,-100,-100,-100,-100,-100,-100,-100
191203146,1-2-4,4-5-3,-100,-100,-100,-100,-100,-100,-100
191206138,4-1-6,4-6-1,630,160,-100,-100,70,-100,400
191204150,6-1-3,1-3-2,-100,-100,-100,-100,-100,-100,-100
191203149,6-2-3,4-1-2,-100,-100,-100,-100,-100,-100,-100
191214173,3-4-5,1-4-2,-100,-100,-100,-100,-100,-100,-100
191215177,3-6-4,4-5-2,-100,-100,-100,-100,-100,-100,-100
191228200,1-3-4,4-2-6,-100,-100,-100,-100,-100,-100,-100
191208140,4-2-3,2-6-5,-100,-100,-100,-100,-100,-100,-100
191230198,5-1-3,4-5-6,-100,20,-100,-100,-100,-100,-100
191230195,3-2-5,4-6-3,-100,-100,-100,-100,-100,-100,-100
191230199,3-5-4,3-4-2,750,370,-100,-100,-100,-100,-100
191215178,3-1-6,4-1-6,-100,-100,-100,-100,-100,-100,-100
191229205,5-6-1,3-4-2,-100,-100,-100,-100,-100,-100,-100
191229215,3-2-5,1-3-4,-100,400,-100,-100,-100,-100,-100
191203155,3-4-2,1-6-5,-100,-100,-100,-100,-100,-100,-100
191204152,1-3-6,2-5-1,-100,-100,-100,-100,-100,-100,-100
191230203,6-1-2,1-2-4,-100,-100,-100,-100,-100,-100,-100
191228197,3-2-1,3-5-2,150,60,-100,-100,80,-100,-100
191207136,1-4-3,5-4-3,-100,-100,-100,-100,-100,-100,-100
191230200,2-5-6,5-3-2,-100,-100,-100,-100,40,-100,-100
191208135,1-6-5,2-1-6,-100,30,-100,-100,760,-100,-100
191207138,1-4-3,3-2-6,-100,-100,-100,-100,-100,-100,-100
191206142,2-3-5,3-2-6,-100,200,-100,1180,310,-100,-100
191230193,6-4-5,6-1-4,450,40,-100,-100,470,-100,-100
191204155,6-1-3,3-4-2,-100,-100,-100,-100,-100,-100,-100
191203154,6-3-5,1-2-6,-100,-100,-100,-100,-100,-100,-100
191228195,3-6-2,1-3-2,-100,60,-100,-100,-100,-100,-100
191215175,1-4-2,1-2-3,40,30,-100,-100,-100,-100,-100
191203148,1-5-4,4-3-1,-100,-100,-100,-100,-100,-100,-100
191214170,6-5-4,2-1-4,-100,-100,-100,-100,-100,-100,-100
191216145,6-3-1,2-1-3,-100,-100,-100,-100,-100,-100,-100
191206134,3-5-4,4-2-6,-100,-100,-100,-100,-100,-100,-100
191228194,6-4-3,1-4-2,-100,-100,-100,-100,-100,-100,-100
191215170,3-2-6,4-1-5,-100,-100,-100,-100,-100,-100,-100
191206137,5-6-4,3-1-2,-100,-100,-100,-100,-100,-100,-100
191215174,2-3-6,1-4-2,-100,-100,-100,-100,-100,-100,-100
191231213,4-2-5,1-3-5,-100,-100,-100,-100,-100,-100,-100
191204149,6-2-1,2-5-3,-100,-100,-100,-100,-100,-100,-100
191231207,4-2-5,2-3-4,-100,-100,-100,-100,250,-100,-100
191214171,2-5-1,4-1-5,-100,-100,-100,-100,-100,-100,-100
191214174,1-3-5,1-4-2,160,100,-100,-100,-100,-100,-100
191213139,6-3-5,5-1-3,-100,-100,-100,-100,-100,-100,-100
