レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
19123155,1-2-4,5-2-4,-100,-100,-100,-100,-100,-100,-100
19120940,2-1-4,2-6-3,70,10,-100,-100,-100,-100,-100
19122558,1-2-3,1-3-2,20,0,-100,-100,20,-100,140
19121431,2-1-3,4-5-2,-100,-100,-100,-100,-100,-100,-100
19121318,2-1-3,1-4-2,-100,-100,-100,-100,20,-100,-100
19120246,1-3-2,1-4-6,20,20,-100,-100,-100,-100,-100
19122556,2-1-3,2-1-6,320,30,430,30,30,-100,-100
19122951,1-2-4,1-2-4,230,0,880,550,190,7570,1370
19122337,1-2-3,1-3-6,0,0,-100,-100,-100,-100,-100
19120335,1-3-2,1-6-3,20,10,-100,-100,20,-100,-100
19121530,1-2-3,1-2-4,60,20,270,150,30,-100,-100
19120430,2-1-3,1-3-6,-100,-100,-100,-100,-100,-100,-100
19120240,1-3-2,6-1-3,-100,10,-100,-100,30,-100,-100
19121039,2-1-3,2-6-5,70,10,-100,-100,-100,-100,-100
19122953,1-2-4,4-1-2,-100,0,-100,-100,50,-100,110
19121322,1-2-4,1-2-5,30,10,130,120,90,-100,-100
19122560,1-2-3,1-2-4,100,10,220,120,0,-100,-100
19120241,1-3-2,3-1-5,-100,0,-100,110,40,-100,-100
19120527,2-1-5,5-1-6,-100,-100,-100,-100,-100,-100,-100
19120432,1-2-5,4-6-5,-100,-100,-100,-100,-100,-100,-100
19121319,1-2-4,2-4-5,-100,-100,-100,-100,-100,-100,-100
19122959,1-2-3,5-3-1,-100,-100,-100,-100,-100,-100,-100
19121316,1-3-2,4-3-6,-100,-100,-100,-100,-100,-100,-100
19123049,1-2-3,1-2-6,0,10,620,700,220,-100,-100
19120327,1-2-3,1-6-3,60,50,-100,-100,-100,-100,-100
19120635,1-2-3,1-2-3,10,0,130,70,40,540,180
19120238,1-2-3,4-1-6,-100,100,-100,-100,-100,-100,-100
19120244,1-2-4,3-2-1,-100,-100,-100,-100,80,-100,-100
19122338,2-1-3,3-2-5,-100,10,-100,-100,-100,-100,-100
19121429,1-4-2,1-2-4,50,30,-100,-100,30,-100,110
19122550,1-2-3,2-1-6,-100,0,-100,70,20,-100,-100
19120429,2-1-3,2-3-5,70,0,-100,-100,-100,-100,-100
19122437,1-2-3,1-5-2,20,0,-100,-100,100,-100,-100
19120633,1-2-4,5-6-1,-100,-100,-100,-100,-100,-100,-100
19122439,2-1-3,6-2-4,-100,0,-100,-100,-100,-100,-100
19120239,2-1-4,1-3-4,-100,-100,-100,-100,-100,-100,-100
19121532,1-2-3,1-5-3,0,0,-100,-100,-100,-100,-100
19122640,1-2-3,1-3-6,0,240,-100,-100,-100,-100,-100
19121128,2-3-1,3-1-4,-100,-100,-100,-100,-100,-100,-100
19123160,1-2-3,1-5-2,20,30,-100,-100,20,-100,-100
19121133,1-3-2,1-2-5,20,0,-100,-100,-100,-100,-100
19121234,1-2-3,4-2-6,-100,-100,-100,-100,-100,-100,-100
