レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
19120572,2-1-4,1-5-2,-100,-100,-100,-100,20,-100,-100
19120366,2-3-1,2-6-5,220,0,-100,-100,-100,-100,-100
19120473,1-2-3,3-1-2,-100,0,-100,-100,20,-100,310
19121670,1-3-2,1-3-4,10,10,240,170,50,-100,-100
19122679,2-1-3,1-5-2,-100,-100,-100,-100,80,-100,-100
19123193,2-1-3,1-4-2,-100,-100,-100,-100,40,-100,-100
19122891,1-3-2,1-6-2,0,0,-100,-100,-100,-100,-100
19120183,1-2-3,1-2-6,30,40,290,240,100,-100,-100
19122577,1-3-2,1-4-5,180,20,-100,-100,-100,-100,-100
19120478,1-2-3,1-4-2,30,30,-100,-100,110,-100,-100
19123195,1-2-4,1-2-6,0,0,120,50,80,-100,-100
19121252,2-1-5,5-1-4,-100,-100,-100,-100,-100,-100,-100
19120565,1-2-3,2-3-1,-100,-100,-100,-100,10,-100,70
19120182,1-2-5,1-4-6,0,50,-100,-100,-100,-100,-100
19122370,1-2-4,1-4-6,10,0,-100,-100,-100,-100,-100
19122783,1-2-4,1-6-5,30,20,-100,-100,-100,-100,-100
19122474,3-2-1,3-4-6,20,0,-100,-100,-100,-100,-100
19121344,1-2-3,5-1-4,-100,0,-100,-100,-100,-100,-100
19122676,3-1-2,3-6-2,40,50,-100,-100,-100,-100,-100
19120184,1-2-4,2-1-5,-100,0,-100,20,60,-100,-100
19121340,2-1-3,2-1-3,60,20,810,250,150,5420,1320
19120477,2-1-3,4-1-2,-100,-100,-100,-100,0,-100,-100
19122893,1-6-3,4-2-1,-100,-100,-100,-100,-100,-100,-100
19122362,2-1-3,1-4-3,-100,-100,-100,-100,-100,-100,-100
19121257,1-3-2,3-6-1,-100,-100,-100,-100,50,-100,-100
19121259,1-2-3,1-3-4,40,60,-100,-100,-100,-100,-100
19120272,1-2-3,1-3-6,40,0,-100,-100,-100,-100,-100
19121665,1-2-4,1-2-3,30,0,190,50,40,-100,-100
19121672,1-3-5,1-5-2,10,0,-100,-100,-100,-100,-100
19122681,1-2-3,6-5-1,-100,-100,-100,-100,-100,-100,-100
19121343,1-2-3,4-1-6,-100,0,-100,-100,-100,-100,-100
19121464,2-1-3,3-4-5,-100,-100,-100,-100,-100,-100,-100
19122583,1-2-3,1-4-2,20,10,-100,-100,50,-100,-100
19121341,1-4-2,2-1-3,-100,10,-100,-100,-100,-100,-100
19121569,2-3-1,1-2-3,-100,100,-100,-100,30,-100,90
19120369,1-3-2,3-4-5,-100,-100,-100,-100,-100,-100,-100
19121566,1-2-4,4-6-5,-100,-100,-100,-100,-100,-100,-100
19120482,1-2-3,1-2-3,40,0,190,220,40,450,80
19122890,1-3-2,1-5-4,150,20,-100,-100,-100,-100,-100
19122476,2-3-6,3-1-6,-100,-100,-100,-100,-100,-100,-100
19120262,1-2-5,6-4-2,-100,-100,-100,-100,-100,-100,-100
19120176,1-3-2,4-2-3,-100,-100,-100,-100,-100,-100,-100
19122371,1-2-4,5-1-4,-100,0,-100,-100,-100,-100,-100
19122896,1-2-3,1-4-3,20,0,-100,-100,-100,-100,-100
19121562,1-3-5,3-5-6,-100,-100,-100,-100,-100,-100,-100
19122366,2-1-3,5-4-1,-100,-100,-100,-100,-100,-100,-100
19121254,2-1-5,5-1-4,-100,-100,-100,-100,-100,-100,-100
19121338,1-4-3,1-5-4,50,50,-100,-100,50,-100,-100
19121663,1-2-4,4-1-3,-100,30,-100,-100,-100,-100,-100
19122473,1-2-3,2-1-6,-100,0,-100,190,150,-100,-100
19122776,1-2-5,1-5-2,300,20,-100,-100,110,-100,240
19122364,3-1-4,1-4-3,-100,-100,-100,-100,30,-100,230
19121158,1-3-2,2-1-5,-100,10,-100,-100,-100,-100,-100
19122778,1-4-2,3-4-6,-100,-100,-100,-100,-100,-100,-100
19121150,1-2-3,1-6-2,70,110,-100,-100,20,-100,-100
19120270,1-3-2,1-5-3,90,90,-100,-100,40,-100,-100
19120364,2-1-3,2-1-4,80,130,1040,190,110,-100,-100
19121253,1-3-4,1-3-5,60,20,240,290,70,-100,-100
19121471,1-2-6,1-5-4,0,0,-100,-100,-100,-100,-100
19122483,1-4-2,3-4-1,-100,-100,-100,-100,60,-100,-100
19121661,1-3-2,1-3-5,20,20,200,170,50,-100,-100
19123186,1-3-5,2-5-1,-100,-100,-100,-100,-100,-100,-100
19121154,3-2-1,3-5-1,60,60,-100,-100,-100,-100,-100
19122678,2-1-4,1-2-3,-100,20,-100,210,10,-100,-100
19122367,2-3-1,3-1-4,-100,-100,-100,-100,-100,-100,-100
19122780,1-2-4,1-3-2,0,0,-100,-100,20,-100,-100
19120271,1-2-4,1-3-5,30,0,-100,-100,-100,-100,-100
19122480,1-2-4,1-4-5,10,10,-100,-100,-100,-100,-100
19120480,1-2-3,1-2-3,50,0,110,50,20,460,120
19120475,1-3-6,1-2-6,300,0,-100,-100,-100,-100,-100
19120479,1-2-4,1-3-2,0,0,-100,-100,60,-100,-100
19120484,1-2-4,1-4-2,50,0,-100,-100,70,-100,160
19121568,1-2-3,3-2-4,-100,-100,-100,-100,-100,-100,-100
19121258,1-2-3,1-4-6,100,60,-100,-100,-100,-100,-100
19122581,1-2-6,1-5-6,60,90,-100,-100,-100,-100,-100
19120476,1-2-3,1-4-6,0,40,-100,-100,-100,-100,-100
19122369,1-3-2,2-5-3,-100,-100,-100,-100,-100,-100,-100
19120269,2-1-5,2-5-4,30,50,-100,-100,-100,-100,-100
19121567,1-2-6,1-2-3,20,0,130,80,20,-100,-100
19120563,1-2-4,4-6-2,-100,-100,-100,-100,-100,-100,-100
19122475,2-4-1,2-5-4,650,600,-100,-100,70,-100,-100
19120564,1-3-2,3-5-4,-100,-100,-100,-100,-100,-100,-100
19120268,1-2-4,1-2-6,20,0,90,70,10,-100,-100
19121149,1-2-3,1-3-5,10,0,-100,-100,-100,-100,-100
19120362,2-1-3,1-2-4,-100,0,-100,180,50,-100,-100
19120571,1-2-4,1-4-6,30,0,-100,-100,-100,-100,-100
19122888,2-1-3,2-1-3,110,0,490,50,30,1400,160
19120568,1-2-4,1-3-4,10,0,-100,-100,-100,-100,-100
19121260,1-2-3,1-3-4,30,0,-100,-100,-100,-100,-100
19121157,1-3-2,1-5-6,60,20,-100,-100,-100,-100,-100
19121339,1-5-2,1-4-6,740,20,-100,-100,-100,-100,-100
19123185,1-2-3,1-4-2,90,0,-100,-100,120,-100,-100
19120264,1-3-2,3-5-4,-100,-100,-100,-100,-100,-100,-100
19122478,2-1-5,1-2-4,-100,90,-100,170,130,-100,-100
19121346,1-3-2,3-1-6,-100,20,-100,150,70,-100,-100
19121160,1-3-2,1-2-6,20,0,-100,-100,-100,-100,-100
19121664,1-3-2,2-1-6,-100,0,-100,-100,-100,-100,-100
19122887,1-2-3,1-2-3,0,30,260,370,70,890,310
19121348,1-2-4,1-3-6,50,10,-100,-100,-100,-100,-100
19120178,2-1-5,5-2-4,-100,0,-100,-100,-100,-100,-100
19120569,1-3-2,4-1-3,-100,0,-100,-100,80,-100,-100
19122479,2-1-3,5-6-2,-100,-100,-100,-100,-100,-100,-100
19120179,3-2-1,1-2-3,-100,-100,-100,-100,110,-100,310
19122582,1-2-3,1-5-3,10,0,-100,-100,-100,-100,-100
19120474,1-2-3,1-2-5,80,10,260,170,50,-100,-100
19120483,1-2-3,1-5-3,10,0,-100,-100,-100,-100,-100
19122579,2-1-4,1-2-3,-100,20,-100,50,30,-100,-100
19121342,2-1-6,2-6-3,110,20,-100,-100,-100,-100,-100
19122482,1-2-3,1-2-3,0,0,60,70,0,330,130
19122372,1-3-2,5-3-1,-100,-100,-100,-100,50,-100,-100
19121463,2-3-4,3-4-1,-100,-100,-100,-100,-100,-100,-100
19123189,1-4-3,1-3-4,30,40,-100,-100,60,-100,110
19122886,1-2-4,1-2-6,140,20,190,30,50,-100,-100
19122683,1-2-4,3-4-1,-100,-100,-100,-100,-100,-100,-100
19121151,1-2-3,3-1-6,-100,20,-100,-100,-100,-100,-100
19121572,1-3-5,1-2-3,40,0,-100,-100,40,-100,-100
19121156,1-2-4,1-2-5,10,0,110,110,70,-100,-100
19120367,2-1-3,4-5-2,-100,-100,-100,-100,-100,-100,-100
19120266,2-3-1,2-3-6,200,130,1170,410,120,-100,-100
19121472,1-2-3,1-6-3,0,20,-100,-100,-100,-100,-100
19122361,1-2-3,1-2-3,20,0,310,210,80,740,170
19120365,1-2-4,1-4-3,50,0,-100,-100,-100,-100,-100
19123191,2-1-3,2-1-3,170,30,390,80,0,660,110
19121563,1-2-5,1-2-4,40,40,460,250,230,-100,-100
19120261,1-2-4,1-4-5,0,0,-100,-100,-100,-100,-100
19120265,1-3-2,4-6-2,-100,-100,-100,-100,-100,-100,-100
19120177,4-1-3,1-3-4,-100,-100,-100,-100,30,-100,180
19122894,2-3-1,2-1-3,190,30,-100,-100,30,-100,300
19121561,1-2-3,1-2-3,0,0,320,540,50,1450,680
19121465,2-1-4,1-2-4,-100,0,-100,40,0,-100,90
19123187,2-3-1,1-2-5,-100,170,-100,-100,-100,-100,-100
19122363,1-6-2,6-1-4,-100,20,-100,250,120,-100,-100
19121571,1-3-2,1-3-4,0,0,190,140,40,-100,-100
19122773,1-2-4,4-1-2,-100,0,-100,-100,0,-100,170
19120562,1-2-5,5-4-6,-100,-100,-100,-100,-100,-100,-100
19122573,1-2-3,1-3-6,30,20,-100,-100,-100,-100,-100
19122680,1-2-4,4-1-5,-100,0,-100,-100,-100,-100,-100
19121667,1-3-6,1-3-6,10,0,180,90,50,980,470
19122684,1-2-4,1-6-3,20,0,-100,-100,-100,-100,-100
19121671,1-3-2,1-6-4,10,40,-100,-100,-100,-100,-100
19122774,1-4-2,4-6-1,-100,-100,-100,-100,60,-100,-100
19122777,1-3-2,1-4-2,20,10,-100,-100,-100,-100,-100
19122781,1-2-4,1-2-3,20,20,140,100,10,-100,-100
19123192,1-2-4,2-1-4,-100,0,-100,60,10,-100,50
19122580,1-2-4,1-2-4,40,0,110,40,10,240,100
19122889,1-3-4,1-4-3,40,10,-100,-100,40,-100,130
19121470,1-2-3,3-2-4,-100,-100,-100,-100,-100,-100,-100
19122674,1-2-3,2-1-4,-100,20,-100,60,50,-100,-100
19121347,1-2-4,1-2-4,0,20,400,190,40,710,160
19122779,1-5-2,4-5-1,-100,-100,-100,-100,70,-100,-100
19121662,1-4-3,1-6-3,20,120,-100,-100,-100,-100,-100
19120180,2-1-4,1-2-3,-100,0,-100,180,70,-100,-100
19120570,1-2-3,1-2-5,50,0,150,110,20,-100,-100
19120173,1-3-2,4-1-5,-100,0,-100,-100,-100,-100,-100
19120371,1-2-5,4-1-6,-100,0,-100,-100,-100,-100,-100
19121461,1-2-3,3-4-1,-100,-100,-100,-100,-100,-100,-100
19123190,2-1-5,2-1-6,230,50,190,240,10,-100,-100
19123196,1-2-3,1-5-3,30,0,-100,-100,-100,-100,-100
19121345,1-2-3,1-4-3,20,30,-100,-100,-100,-100,-100
19122576,1-3-4,5-3-1,-100,-100,-100,-100,160,-100,-100
19121570,2-1-4,2-1-5,680,30,850,120,30,-100,-100
19123194,1-2-3,1-5-2,0,20,-100,-100,30,-100,-100
19120263,1-2-6,1-2-6,330,0,410,240,260,2860,770
19122775,3-1-2,3-2-5,0,370,-100,-100,-100,-100,-100
19121668,1-2-4,4-5-6,-100,-100,-100,-100,-100,-100,-100
19121564,3-2-1,2-3-6,-100,0,-100,2330,320,-100,-100
19121249,1-3-2,1-2-5,20,0,-100,-100,-100,-100,-100
19121251,1-3-2,2-6-3,-100,-100,-100,-100,-100,-100,-100
19121152,1-4-5,6-1-3,-100,20,-100,-100,-100,-100,-100
19121468,1-2-3,1-4-3,0,0,-100,-100,-100,-100,-100
19120174,1-2-3,4-3-1,-100,-100,-100,-100,-100,-100,-100
19121256,1-2-4,2-4-1,-100,-100,-100,-100,30,-100,60
19122574,1-2-3,5-4-2,-100,-100,-100,-100,-100,-100,-100
19122673,1-2-3,1-3-4,50,30,-100,-100,-100,-100,-100
19122575,1-3-2,3-5-2,-100,-100,-100,-100,-100,-100,-100
19121669,1-2-3,1-3-2,90,20,-100,-100,80,-100,190
19121462,2-1-3,2-4-6,210,70,-100,-100,-100,-100,-100
19122584,1-2-5,4-3-6,-100,-100,-100,-100,-100,-100,-100
19122682,1-2-6,1-2-6,0,0,240,180,160,1240,590
19120567,1-2-5,1-2-5,0,0,210,230,40,840,360
19120181,2-3-5,1-3-5,-100,-100,-100,-100,-100,-100,-100
19122368,1-2-3,3-6-2,-100,-100,-100,-100,-100,-100,-100
19122484,1-3-2,1-2-6,30,70,-100,-100,-100,-100,-100
19122578,3-4-2,1-4-3,-100,-100,-100,-100,60,-100,-100
19121255,2-1-5,2-1-3,160,100,720,230,80,-100,-100
19122782,2-1-3,1-6-5,-100,-100,-100,-100,-100,-100,-100
19121153,1-3-4,3-4-1,-100,-100,-100,-100,50,-100,70
19120368,1-4-2,1-2-3,0,0,-100,-100,-100,-100,-100
19121467,2-1-3,1-3-6,-100,-100,-100,-100,-100,-100,-100
19122481,1-3-2,1-2-3,40,0,-100,-100,70,-100,300
19120481,1-2-4,3-6-5,-100,-100,-100,-100,-100,-100,-100
19120361,1-3-4,3-1-4,-100,0,-100,160,10,-100,280
19120566,1-6-2,4-6-1,-100,-100,-100,-100,30,-100,-100
19122677,1-2-3,4-2-5,-100,-100,-100,-100,-100,-100,-100
19121159,1-2-3,1-2-3,20,0,240,230,60,840,340
19120372,1-2-3,1-5-2,30,0,-100,-100,60,-100,-100
19121155,2-3-1,2-4-1,190,140,-100,-100,-100,-100,-100
19120363,2-1-3,2-3-4,190,0,-100,-100,-100,-100,-100
19122895,1-2-3,1-3-4,30,10,-100,-100,-100,-100,-100
19122885,1-2-3,1-2-3,40,20,360,210,160,830,310
19121466,2-4-1,2-5-4,170,240,-100,-100,30,-100,-100
19122365,1-3-2,1-3-2,70,0,190,90,50,1320,430
19120561,1-3-2,1-5-3,110,0,-100,-100,30,-100,-100
19120267,2-1-3,3-1-4,-100,-100,-100,-100,-100,-100,-100
19121565,2-1-4,1-2-4,-100,20,-100,90,60,-100,80
19122784,1-3-2,1-3-5,30,0,240,170,70,-100,-100
19121250,2-1-4,3-4-2,-100,-100,-100,-100,-100,-100,-100
19123188,1-3-2,1-3-6,110,20,250,80,50,-100,-100
19120370,1-2-4,1-2-6,40,0,280,130,0,-100,-100
19122675,3-1-4,2-4-3,-100,-100,-100,-100,-100,-100,-100
19122477,1-3-4,4-3-1,-100,-100,-100,-100,0,-100,120
19120175,3-1-4,6-3-4,-100,170,-100,-100,-100,-100,-100
19121469,1-3-2,1-2-3,60,0,-100,-100,40,-100,100
19121337,1-3-2,1-5-3,40,10,-100,-100,50,-100,-100
19122892,1-2-4,1-2-5,10,0,110,50,10,-100,-100
