レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
191206147,2-1-3,3-2-5,-100,280,-100,-100,-100,-100,-100
191205157,1-4-2,4-3-6,-100,-100,-100,-100,-100,-100,-100
191205167,1-2-3,1-3-2,10,0,-100,-100,40,-100,190
191213148,2-1-3,1-6-4,-100,-100,-100,-100,-100,-100,-100
191230214,1-4-3,1-2-3,20,0,-100,-100,-100,-100,-100
191214190,2-1-3,1-3-5,-100,-100,-100,-100,-100,-100,-100
191203161,2-1-3,2-3-4,140,80,-100,-100,-100,-100,-100
191213152,1-2-3,1-2-6,50,10,360,250,120,-100,-100
191216166,2-1-3,1-2-3,-100,0,-100,70,0,-100,200
191214184,1-3-2,1-2-3,80,60,-100,-100,40,-100,160
191229219,1-2-3,1-3-6,120,140,-100,-100,-100,-100,-100
191207153,1-3-4,1-2-3,0,0,-100,-100,30,-100,-100
191204157,1-2-4,4-3-6,-100,-100,-100,-100,-100,-100,-100
191214182,1-3-5,1-4-6,90,110,-100,-100,-100,-100,-100
191206145,1-4-2,4-5-1,-100,-100,-100,-100,0,-100,-100
191228209,1-2-5,4-6-2,-100,-100,-100,-100,-100,-100,-100
191207146,2-1-4,1-2-4,-100,30,-100,170,110,-100,700
191203168,1-2-4,1-4-2,10,10,-100,-100,70,-100,410
191228205,1-3-2,4-6-3,-100,-100,-100,-100,-100,-100,-100
191205163,2-1-3,2-1-5,140,50,870,280,140,-100,-100
191205160,1-2-3,5-1-2,-100,10,-100,-100,0,-100,-100
191206156,1-2-3,6-1-3,-100,0,-100,-100,-100,-100,-100
191229227,1-2-4,1-2-4,40,60,150,70,10,450,190
191215183,1-2-4,2-1-4,-100,30,-100,60,70,-100,470
191216164,1-2-3,1-5-6,0,0,-100,-100,-100,-100,-100
191230207,1-2-3,2-1-5,-100,30,-100,180,80,-100,-100
191213149,1-3-5,1-4-6,0,0,-100,-100,-100,-100,-100
191214183,2-5-1,3-4-5,-100,-100,-100,-100,-100,-100,-100
191204159,3-2-4,3-2-4,210,0,5020,3470,830,12160,2500
191207154,1-2-3,1-4-3,20,0,-100,-100,-100,-100,-100
191216159,2-1-3,1-2-5,-100,0,-100,130,90,-100,-100
191216167,1-3-2,1-2-3,0,0,-100,-100,100,-100,450
191230216,1-2-4,5-6-4,-100,-100,-100,-100,-100,-100,-100
191228213,1-2-4,1-2-4,70,0,180,90,20,530,170
191229217,1-2-3,1-4-3,160,20,-100,-100,-100,-100,-100
191205165,1-2-3,1-4-2,50,10,-100,-100,40,-100,-100
191213156,1-3-2,1-3-5,10,0,290,180,30,-100,-100
