レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
19122725,1-2-3,3-1-4,-100,0,-100,-100,-100,-100,-100
19120125,1-2-4,1-3-2,10,0,-100,-100,40,-100,-100
19122621,2-1-3,2-1-3,0,50,210,100,10,660,130
19121819,1-3-4,3-4-1,-100,-100,-100,-100,10,-100,110
19121627,1-3-2,3-5-1,-100,-100,-100,-100,80,-100,-100
19122614,1-2-3,3-2-1,-100,-100,-100,-100,50,-100,100
19120821,2-3-1,1-2-5,-100,80,-100,-100,-100,-100,-100
19121415,3-1-2,3-1-2,50,0,330,100,80,1130,160
19122818,2-1-3,3-1-6,-100,-100,-100,-100,-100,-100,-100
19121520,1-2-3,1-4-5,60,30,-100,-100,-100,-100,-100
19121516,3-1-2,1-5-2,-100,-100,-100,-100,-100,-100,-100
19121823,2-1-3,3-2-4,-100,90,-100,-100,-100,-100,-100
19121521,1-2-5,1-3-4,90,0,-100,-100,-100,-100,-100
19121816,2-1-3,2-3-6,30,0,-100,-100,-100,-100,-100
19122615,1-3-2,1-4-3,90,0,-100,-100,120,-100,-100
19120128,2-1-4,2-4-5,90,0,-100,-100,-100,-100,-100
19121017,1-2-4,1-2-4,50,20,390,260,60,770,280
19120129,1-3-4,3-4-5,-100,-100,-100,-100,-100,-100,-100
19121418,2-1-4,4-1-5,-100,-100,-100,-100,-100,-100,-100
19120923,1-3-2,1-3-2,0,0,80,100,20,650,310
19120816,2-1-3,1-4-5,-100,-100,-100,-100,-100,-100,-100
19122729,1-3-2,3-5-1,-100,-100,-100,-100,690,-100,-100
19122620,1-2-3,1-3-2,0,0,-100,-100,30,-100,140
1912064,3-1-4,2-3-1,-100,40,-100,-100,70,-100,-100
19121524,1-2-3,1-3-2,10,0,-100,-100,0,-100,450
19121919,1-2-4,2-4-3,-100,-100,-100,-100,-100,-100,-100
19121020,1-2-3,1-5-4,0,0,-100,-100,-100,-100,-100
19120524,1-2-3,1-4-2,0,0,-100,-100,90,-100,-100
19121015,1-3-2,3-1-4,-100,20,-100,120,50,-100,-100
19121913,1-2-4,1-5-2,110,80,-100,-100,120,-100,-100
19121724,1-2-4,5-1-4,-100,10,-100,-100,-100,-100,-100
19122522,1-2-4,1-2-4,60,30,310,280,100,790,240
19120813,1-2-4,1-3-2,10,10,-100,-100,20,-100,-100
19122730,1-2-3,5-6-1,-100,-100,-100,-100,-100,-100,-100
19121717,1-2-3,6-4-3,-100,-100,-100,-100,-100,-100,-100
19120721,1-2-3,4-1-5,-100,70,-100,-100,-100,-100,-100
19120924,1-2-5,1-3-2,10,0,-100,-100,30,-100,-100
19123031,1-2-4,2-5-1,-100,-100,-100,-100,20,-100,-100
19121716,3-1-2,2-3-6,-100,630,-100,-100,-100,-100,-100
19121024,1-2-3,2-1-3,-100,30,-100,40,0,-100,110
19122931,1-2-3,4-2-1,-100,-100,-100,-100,40,-100,-100
1912061,1-2-4,1-3-2,20,60,-100,-100,60,-100,-100
19122514,1-3-2,2-4-3,-100,-100,-100,-100,-100,-100,-100
19122820,1-2-3,5-1-4,-100,0,-100,-100,-100,-100,-100
19120517,1-2-3,1-2-3,110,110,280,140,70,1210,310
19122816,1-3-4,1-3-4,80,10,420,280,10,620,150
19122727,2-1-3,1-3-5,-100,-100,-100,-100,-100,-100,-100
19121714,2-1-3,2-1-5,60,20,420,320,20,-100,-100
19122928,1-2-3,1-3-2,150,0,-100,-100,130,-100,230
19120611,1-3-2,1-2-4,0,0,-100,-100,-100,-100,-100
19122732,1-2-3,1-4-2,30,90,-100,-100,60,-100,-100
19120722,1-3-4,3-4-1,-100,-100,-100,-100,0,-100,330
19120520,1-2-3,1-2-3,0,0,490,540,160,1430,300
1912069,1-3-2,2-3-1,-100,-100,-100,-100,0,-100,190
19120922,1-2-3,1-4-5,170,40,-100,-100,-100,-100,-100
19122814,1-2-3,1-2-6,0,0,230,180,70,-100,-100
19121523,1-3-2,4-5-2,-100,-100,-100,-100,-100,-100,-100
19120130,1-2-3,1-4-6,50,0,-100,-100,-100,-100,-100
19121628,2-3-1,1-2-5,-100,20,-100,-100,-100,-100,-100
19121023,1-2-3,1-5-2,30,0,-100,-100,100,-100,-100
19122616,1-2-3,3-1-5,-100,120,-100,-100,-100,-100,-100
19120913,1-3-2,1-5-3,30,0,-100,-100,70,-100,-100
19122624,1-2-4,1-4-6,20,120,-100,-100,-100,-100,-100
19120127,1-3-2,4-2-5,-100,-100,-100,-100,-100,-100,-100
19120914,1-3-2,1-4-6,100,110,-100,-100,-100,-100,-100
19121633,2-1-4,3-5-4,-100,-100,-100,-100,-100,-100,-100
19123028,2-1-3,4-6-3,-100,-100,-100,-100,-100,-100,-100
19122728,2-3-1,3-2-5,-100,270,-100,580,150,-100,-100
19120610,1-2-3,3-2-5,-100,-100,-100,-100,-100,-100,-100
19121519,1-2-4,1-2-4,70,0,330,260,100,630,60
19123025,1-2-4,1-3-6,10,0,-100,-100,-100,-100,-100
19120514,2-1-3,1-5-2,-100,-100,-100,-100,180,-100,-100
19120823,1-2-3,3-4-2,-100,-100,-100,-100,-100,-100,-100
19120818,1-2-4,4-2-6,-100,-100,-100,-100,-100,-100,-100
19122733,2-1-3,1-2-3,-100,60,-100,260,90,-100,1200
19120819,2-1-3,6-2-4,-100,130,-100,-100,-100,-100,-100
19122518,1-4-2,4-5-3,-100,-100,-100,-100,-100,-100,-100
19120718,2-1-3,1-2-6,-100,0,-100,110,40,-100,-100
19121626,1-2-3,1-3-6,300,60,-100,-100,-100,-100,-100
19123036,1-3-2,1-3-5,30,0,200,160,50,-100,-100
1912063,1-2-4,2-6-5,-100,-100,-100,-100,-100,-100,-100
1912062,1-2-4,1-2-5,140,50,290,270,110,-100,-100
19121815,2-3-1,3-4-2,-100,-100,-100,-100,360,-100,-100
19121720,1-3-2,1-2-4,0,70,-100,-100,-100,-100,-100
19121722,1-2-3,1-2-4,50,60,220,270,80,-100,-100
19120820,1-2-3,3-2-1,-100,-100,-100,-100,140,-100,450
19121715,2-1-3,2-4-5,470,30,-100,-100,-100,-100,-100
19121625,1-2-3,1-2-4,20,0,360,120,80,-100,-100
19122617,3-1-2,1-3-6,-100,90,-100,270,20,-100,-100
19121514,3-1-2,3-5-6,160,0,-100,-100,-100,-100,-100
19122622,1-2-3,1-2-6,0,0,170,130,10,-100,-100
19123027,1-2-3,4-1-6,-100,0,-100,-100,-100,-100,-100
19120513,1-2-3,1-2-5,20,40,310,360,10,-100,-100
19121632,1-2-3,1-2-3,10,10,330,240,380,980,350
19121419,2-3-1,3-4-1,-100,-100,-100,-100,-100,-100,-100
19121423,1-3-4,1-2-3,50,0,-100,-100,100,-100,-100
19120135,1-3-2,4-2-6,-100,-100,-100,-100,-100,-100,-100
19120717,1-2-3,1-6-3,20,0,-100,-100,-100,-100,-100
19122520,1-2-3,3-1-2,-100,0,-100,-100,60,-100,160
19123035,1-3-4,1-5-4,0,0,-100,-100,-100,-100,-100
19122815,3-2-1,3-4-2,280,20,-100,-100,80,-100,-100
19122731,2-1-4,1-2-5,-100,20,-100,60,20,-100,-100
19121916,1-3-2,1-3-4,90,20,680,500,180,-100,-100
19123033,1-2-3,1-2-6,30,10,300,180,0,-100,-100
1912066,2-1-4,1-3-2,-100,-100,-100,-100,50,-100,-100
19122523,1-3-4,1-4-5,20,30,-100,-100,-100,-100,-100
19123029,3-1-2,6-5-4,-100,-100,-100,-100,-100,-100,-100
19121922,2-3-1,1-3-4,-100,-100,-100,-100,-100,-100,-100
19121631,1-3-2,1-3-4,200,140,630,170,110,-100,-100
19121920,1-2-3,1-5-2,0,0,-100,-100,170,-100,-100
19120920,1-2-3,1-2-3,0,0,110,80,0,180,30
19122824,2-1-3,1-3-4,-100,-100,-100,-100,-100,-100,-100
19120521,2-1-3,1-3-4,-100,-100,-100,-100,-100,-100,-100
19120518,1-3-2,2-3-6,-100,-100,-100,-100,-100,-100,-100
19122736,1-2-3,1-5-2,0,0,-100,-100,220,-100,-100
19122821,1-2-4,5-1-2,-100,180,-100,-100,50,-100,-100
19120516,1-3-2,2-1-5,-100,100,-100,-100,-100,-100,-100
19121019,1-3-5,1-2-5,0,0,-100,-100,-100,-100,-100
19121822,1-3-2,1-6-2,70,0,-100,-100,-100,-100,-100
19121636,1-2-3,1-2-5,20,20,190,60,40,-100,-100
19120814,2-1-3,1-2-3,-100,0,-100,60,10,-100,250
19121923,1-2-4,3-4-6,-100,-100,-100,-100,-100,-100,-100
19121914,1-2-3,3-1-6,-100,0,-100,-100,-100,-100,-100
19122926,1-2-4,1-2-4,150,40,330,230,30,590,130
19120817,2-1-3,1-4-2,-100,-100,-100,-100,100,-100,-100
19121917,2-1-5,2-3-1,250,690,-100,-100,20,-100,-100
19120126,3-2-1,3-2-5,50,40,1600,1030,180,-100,-100
19120515,1-3-2,2-6-4,-100,-100,-100,-100,-100,-100,-100
19120915,2-1-3,4-2-3,-100,30,-100,-100,-100,-100,-100
19122515,2-1-3,3-1-2,-100,-100,-100,-100,30,-100,520
19121414,2-1-3,4-1-5,-100,-100,-100,-100,-100,-100,-100
19121016,1-2-3,1-3-5,0,0,-100,-100,-100,-100,-100
19120822,1-2-4,4-1-5,-100,20,-100,-100,-100,-100,-100
19121817,1-2-3,2-1-3,-100,10,-100,120,10,-100,240
19122823,1-2-3,1-2-6,0,10,110,30,10,-100,-100
19122817,2-1-3,1-2-6,-100,50,-100,280,210,-100,-100
19120720,1-2-3,1-3-2,0,0,-100,-100,130,-100,170
19120716,2-3-1,1-5-2,-100,-100,-100,-100,-100,-100,-100
19122735,2-1-3,3-2-4,-100,670,-100,-100,-100,-100,-100
19122930,2-1-3,1-2-4,-100,0,-100,50,30,-100,-100
19123026,3-1-2,4-3-6,-100,50,-100,-100,-100,-100,-100
19121818,3-2-1,3-2-5,130,60,620,300,50,-100,-100
19123034,1-2-4,1-6-2,130,60,-100,-100,110,-100,-100
19123030,1-2-3,5-3-1,-100,-100,-100,-100,-100,-100,-100
19122726,1-5-2,1-4-5,160,60,-100,-100,30,-100,-100
19121022,3-2-1,1-2-4,-100,-100,-100,-100,-100,-100,-100
19120136,1-2-5,1-5-3,60,20,-100,-100,-100,-100,-100
19121718,2-1-5,1-3-5,-100,-100,-100,-100,-100,-100,-100
19122934,1-3-4,1-4-3,60,0,-100,-100,10,-100,240
19122936,1-2-3,1-4-5,0,0,-100,-100,-100,-100,-100
19121421,1-2-3,2-1-4,-100,100,-100,170,90,-100,-100
19122932,1-3-2,1-3-6,0,10,750,580,390,-100,-100
19120131,1-2-4,1-4-6,30,0,-100,-100,-100,-100,-100
19120713,1-2-3,1-2-3,130,0,100,80,30,390,120
19122822,1-2-3,1-2-6,10,10,170,70,120,-100,-100
19121420,1-2-3,1-6-4,30,20,-100,-100,-100,-100,-100
19121422,1-2-4,1-4-6,90,40,-100,-100,-100,-100,-100
19122613,1-3-2,1-2-6,0,0,-100,-100,-100,-100,-100
19120715,2-1-3,2-1-6,30,0,360,150,100,-100,-100
19121824,1-2-3,1-2-4,20,0,100,50,20,-100,-100
19120522,1-3-4,1-4-3,30,20,-100,-100,40,-100,580
19122521,2-1-3,3-2-1,-100,170,-100,-100,150,-100,870
19121814,1-3-4,4-1-3,-100,0,-100,-100,30,-100,230
19121522,1-4-2,1-3-4,0,0,-100,-100,40,-100,-100
19120919,1-2-3,1-3-4,10,20,-100,-100,-100,-100,-100
19121417,1-3-2,5-3-2,-100,-100,-100,-100,-100,-100,-100
19120921,3-2-1,1-5-3,-100,-100,-100,-100,-100,-100,-100
19121424,1-2-5,1-4-6,10,0,-100,-100,-100,-100,-100
19120917,1-4-3,1-3-4,30,10,-100,-100,90,-100,70
19120918,3-2-1,3-1-6,170,0,-100,-100,-100,-100,-100
19121924,1-3-4,1-4-2,10,0,-100,-100,-100,-100,-100
19122933,1-2-4,1-5-6,60,10,-100,-100,-100,-100,-100
19121713,1-2-3,2-3-1,-100,-100,-100,-100,30,-100,130
19122516,2-3-1,3-4-1,-100,-100,-100,-100,-100,-100,-100
19120519,1-2-3,1-3-5,80,0,-100,-100,-100,-100,-100
19120724,1-2-3,1-3-4,190,0,-100,-100,-100,-100,-100
19121518,1-2-3,5-1-3,-100,0,-100,-100,-100,-100,-100
1912065,2-1-3,2-1-3,130,10,350,360,110,1090,260
