レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
19120456,1-2-3,2-1-3,-100,20,-100,110,40,-100,150
19121331,1-2-3,3-6-2,-100,-100,-100,-100,-100,-100,-100
19121970,1-2-3,3-1-4,-100,160,-100,-100,-100,-100,-100
19121239,2-1-3,2-1-5,200,0,690,550,170,-100,-100
19120457,1-2-3,1-4-2,50,0,-100,-100,130,-100,-100
19120258,1-2-3,1-4-2,170,30,-100,-100,20,-100,-100
19121327,1-3-2,6-4-3,-100,-100,-100,-100,-100,-100,-100
19121336,1-2-3,1-3-5,40,0,-100,-100,-100,-100,-100
19122861,1-2-3,1-4-3,20,10,-100,-100,-100,-100,-100
19122353,1-2-3,2-4-5,-100,-100,-100,-100,-100,-100,-100
19121052,1-2-3,3-4-1,-100,-100,-100,-100,-100,-100,-100
19121143,1-3-2,5-3-6,-100,-100,-100,-100,-100,-100,-100
19123083,1-2-3,1-4-2,20,10,-100,-100,190,-100,-100
19121053,1-2-3,1-2-4,10,20,140,150,20,-100,-100
19122057,1-3-2,1-4-2,20,100,-100,-100,-100,-100,-100
19120250,1-2-3,2-1-3,-100,50,-100,540,290,-100,260
19123175,1-2-3,1-5-2,90,50,-100,-100,40,-100,-100
19123173,1-2-3,2-1-4,-100,0,-100,210,30,-100,-100
19122868,1-2-3,1-2-3,60,30,800,950,110,2050,560
19122976,1-2-3,1-4-3,80,50,-100,-100,-100,-100,-100
19121446,1-2-3,1-2-3,0,0,220,140,20,710,390
19120455,1-2-3,5-3-6,-100,-100,-100,-100,-100,-100,-100
19121244,1-2-3,3-2-4,-100,-100,-100,-100,-100,-100,-100
19122356,1-2-3,1-2-3,10,10,230,320,30,1400,720
19121137,1-2-3,1-2-4,70,20,250,110,30,-100,-100
19121141,1-2-3,3-1-4,-100,0,-100,-100,-100,-100,-100
19122451,1-2-3,1-3-5,30,10,-100,-100,-100,-100,-100
19122050,1-3-2,6-1-3,-100,50,-100,-100,90,-100,-100
19121240,1-2-3,3-2-1,-100,-100,-100,-100,1050,-100,820
19121969,1-2-3,1-3-2,10,0,-100,-100,140,-100,210
19120453,1-2-3,4-1-6,-100,0,-100,-100,-100,-100,-100
19122452,1-3-2,1-3-2,30,0,160,110,30,2900,1140
19122869,1-2-3,2-1-5,-100,0,-100,200,20,-100,-100
19123074,1-3-2,3-6-1,-100,-100,-100,-100,70,-100,-100
19123181,1-3-2,5-1-2,-100,10,-100,-100,-100,-100,-100
19122973,1-2-3,2-1-3,-100,0,-100,60,70,-100,190
19121542,1-2-3,1-2-3,10,0,140,80,20,310,60
19120170,1-2-4,1-5-2,0,0,-100,-100,20,-100,-100
19121328,1-3-2,4-3-6,-100,-100,-100,-100,-100,-100,-100
