レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
19122030,1-2-3,3-1-6,-100,0,-100,-100,-100,-100,-100
19123142,1-3-2,4-6-1,-100,-100,-100,-100,-100,-100,-100
19122426,1-2-3,1-3-5,210,10,-100,-100,-100,-100,-100
19122034,1-2-3,1-2-5,40,0,70,60,20,-100,-100
19122335,1-3-2,1-2-4,0,10,-100,-100,-100,-100,-100
19120236,1-2-3,1-2-5,60,0,210,140,60,-100,-100
19123043,1-2-4,1-3-2,180,10,-100,-100,30,-100,-100
19122029,1-2-3,1-2-3,0,0,70,140,10,490,260
19120137,1-2-3,5-4-1,-100,-100,-100,-100,-100,-100,-100
19120147,1-2-3,1-5-4,20,0,-100,-100,-100,-100,-100
19120139,1-3-2,4-3-1,-100,-100,-100,-100,120,-100,-100
19122330,1-3-2,5-1-3,-100,40,-100,-100,0,-100,-100
19120420,1-2-3,1-6-3,20,0,-100,-100,-100,-100,-100
19122032,1-2-3,1-4-2,30,10,-100,-100,20,-100,-100
19122113,1-2-3,3-6-1,-100,-100,-100,-100,-100,-100,-100
19122425,1-2-3,5-1-2,-100,70,-100,-100,190,-100,-100
19123146,1-3-2,1-2-5,20,0,-100,-100,-100,-100,-100
19120415,2-1-3,4-1-5,-100,-100,-100,-100,-100,-100,-100
19122119,1-2-3,1-2-5,70,10,130,100,20,-100,-100
19120424,1-2-3,1-2-3,30,10,150,90,30,620,350
19120315,2-1-3,3-2-4,-100,90,-100,-100,-100,-100,-100
19122336,1-2-3,3-4-1,-100,-100,-100,-100,-100,-100,-100
19122948,1-2-3,3-2-4,-100,-100,-100,-100,-100,-100,-100
19120229,1-2-3,1-4-3,20,50,-100,-100,-100,-100,-100
19120421,1-2-4,2-4-1,-100,-100,-100,-100,100,-100,800
19122542,1-3-2,4-1-5,-100,0,-100,-100,-100,-100,-100
19122843,1-2-3,2-3-4,-100,-100,-100,-100,-100,-100,-100
19122114,1-2-3,4-3-2,-100,-100,-100,-100,-100,-100,-100
19120321,1-2-4,1-2-4,0,0,180,230,60,630,230
19120314,1-2-3,1-2-6,70,240,900,310,180,-100,-100
19122124,1-2-3,1-3-6,10,20,-100,-100,-100,-100,-100
19120232,1-2-3,2-3-1,-100,-100,-100,-100,30,-100,160
19122217,1-2-4,1-2-3,30,0,160,120,60,-100,-100
19122938,1-2-3,1-2-5,230,40,1840,1580,300,-100,-100
19120225,2-1-3,1-3-2,-100,-100,-100,-100,110,-100,300
19120148,1-2-3,1-4-6,10,0,-100,-100,-100,-100,-100
19122221,1-2-3,1-3-4,50,60,-100,-100,-100,-100,-100
19122945,1-2-3,1-2-6,70,0,130,90,40,-100,-100
19122434,1-3-2,2-1-6,-100,10,-100,-100,-100,-100,-100
19122435,1-2-3,3-1-4,-100,0,-100,-100,-100,-100,-100
19123045,1-2-3,3-1-5,-100,10,-100,-100,-100,-100,-100
19121940,1-2-5,6-3-4,-100,-100,-100,-100,-100,-100,-100
19122218,1-2-3,1-2-6,40,20,380,350,180,-100,-100
19121945,1-3-2,1-4-6,70,10,-100,-100,-100,-100,-100
19120234,1-2-4,3-4-1,-100,-100,-100,-100,-100,-100,-100
19120141,1-2-3,3-4-1,-100,-100,-100,-100,-100,-100,-100
19122543,1-3-2,3-1-4,-100,0,-100,160,30,-100,-100
19120227,1-2-3,3-1-4,-100,50,-100,-100,-100,-100,-100
19122213,1-2-3,1-2-3,40,0,300,80,130,1280,330
19122431,1-2-4,4-1-6,-100,0,-100,-100,-100,-100,-100
