レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
191229166,1-2-3,1-3-2,20,40,-100,-100,70,-100,130
19122390,1-3-2,1-2-3,40,20,-100,-100,10,-100,120
191214106,1-2-3,1-4-5,70,30,-100,-100,-100,-100,-100
19122281,1-2-3,1-5-2,50,10,-100,-100,50,-100,-100
191219126,1-2-3,1-6-2,1060,80,-100,-100,130,-100,-100
191203107,1-3-2,3-1-5,-100,220,-100,100,80,-100,-100
19122173,1-2-3,1-3-6,10,0,-100,-100,-100,-100,-100
19122098,1-2-3,3-1-5,-100,0,-100,-100,-100,-100,-100
19122392,1-2-3,1-2-6,30,0,120,80,20,-100,-100
19121292,2-1-3,4-6-2,-100,-100,-100,-100,-100,-100,-100
191230136,1-2-3,1-5-3,100,70,-100,-100,-100,-100,-100
19121383,1-2-3,4-1-5,-100,0,-100,-100,-100,-100,-100
19121199,1-2-3,2-4-5,-100,-100,-100,-100,-100,-100,-100
191202103,1-2-3,1-4-5,60,0,-100,-100,-100,-100,-100
19120689,1-2-3,2-1-6,-100,70,-100,140,60,-100,-100
191201121,1-2-3,1-2-6,0,0,70,90,50,-100,-100
19122283,1-2-3,1-4-5,10,0,-100,-100,-100,-100,-100
19121290,2-1-3,4-3-5,-100,-100,-100,-100,-100,-100,-100
191211106,2-1-4,2-4-1,180,50,-100,-100,50,-100,130
191231137,1-2-3,1-2-3,0,10,180,250,60,520,290
19121379,2-1-3,6-5-4,-100,-100,-100,-100,-100,-100,-100
19122184,1-2-3,1-2-3,10,10,280,430,110,1340,430
19122274,1-2-3,1-2-3,60,40,410,490,140,980,160
19120397,1-2-3,1-2-4,0,0,180,230,20,-100,-100
191204106,1-2-4,3-1-4,-100,80,-100,-100,-100,-100,-100
191218107,1-2-3,1-3-4,70,10,-100,-100,-100,-100,-100
19121198,1-2-3,1-3-4,20,0,-100,-100,-100,-100,-100
191220100,1-2-3,4-3-6,-100,-100,-100,-100,-100,-100,-100
191214105,1-2-3,1-2-4,20,0,120,70,20,-100,-100
19120688,2-1-3,2-3-6,90,10,-100,-100,-100,-100,-100
19121295,1-2-3,1-2-4,80,20,490,310,90,-100,-100
191205106,1-2-3,1-3-2,30,50,-100,-100,20,-100,70
191229159,1-2-3,2-3-4,-100,-100,-100,-100,-100,-100,-100
19120497,1-3-2,1-3-5,0,0,80,90,50,-100,-100
19120694,1-2-3,1-3-4,30,10,-100,-100,-100,-100,-100
19121291,1-2-3,6-1-5,-100,30,-100,-100,-100,-100,-100
191219124,1-2-3,1-2-4,200,0,330,170,120,-100,-100
19120297,1-2-3,1-3-6,0,0,-100,-100,-100,-100,-100
191211105,1-2-3,1-3-2,110,30,-100,-100,130,-100,480
191229160,1-2-3,4-3-2,-100,-100,-100,-100,-100,-100,-100
191201126,1-2-3,3-4-2,-100,-100,-100,-100,-100,-100,-100
19121898,1-2-3,5-3-1,-100,-100,-100,-100,-100,-100,-100
191229162,1-2-3,6-3-1,-100,-100,-100,-100,-100,-100,-100
191231144,1-2-3,1-2-3,110,30,250,210,40,640,150
191202108,1-2-3,1-3-5,0,0,-100,-100,-100,-100,-100
191231133,1-2-3,1-5-6,20,10,-100,-100,-100,-100,-100
191204101,1-3-2,1-6-2,10,0,-100,-100,-100,-100,-100
19121287,1-2-3,3-1-6,-100,90,-100,-100,-100,-100,-100
19121374,1-3-2,2-4-1,-100,-100,-100,-100,-100,-100,-100
191204107,1-2-3,2-1-6,-100,50,-100,210,70,-100,-100
191211107,1-3-4,1-2-4,30,20,-100,-100,-100,-100,-100
191201124,2-1-4,1-4-2,-100,-100,-100,-100,240,-100,440
19120687,1-2-3,2-4-5,-100,-100,-100,-100,-100,-100,-100
191218100,2-1-3,3-2-6,-100,40,-100,-100,-100,-100,-100
19121377,1-2-3,1-5-2,0,60,-100,-100,120,-100,-100
191220104,1-2-3,1-6-2,110,30,-100,-100,60,-100,-100
191204104,2-1-3,3-6-2,-100,-100,-100,-100,-100,-100,-100
19122275,1-2-3,1-6-3,200,20,-100,-100,-100,-100,-100
191230141,1-2-4,2-4-1,-100,-100,-100,-100,340,-100,1010
191214100,1-2-3,1-2-4,60,30,200,80,50,-100,-100
19122183,1-2-3,1-4-2,10,0,-100,-100,30,-100,-100
191230134,1-2-3,1-2-4,120,0,450,620,30,-100,-100
191230142,2-1-4,1-4-2,-100,-100,-100,-100,30,-100,140
191201127,2-1-3,1-2-4,-100,0,-100,30,0,-100,-100
19122389,1-2-3,1-5-2,30,0,-100,-100,10,-100,-100
191201129,1-2-4,4-3-1,-100,-100,-100,-100,-100,-100,-100
191220105,1-2-3,1-4-5,160,240,-100,-100,-100,-100,-100
19121375,1-3-2,2-1-3,-100,50,-100,-100,110,-100,840
191205101,1-2-3,1-3-4,0,0,-100,-100,-100,-100,-100
19122179,1-2-3,1-6-2,0,0,-100,-100,90,-100,-100
19121380,1-2-3,1-2-3,170,0,1070,570,170,2130,280
19122387,1-2-4,1-6-3,70,0,-100,-100,-100,-100,-100
19121382,1-2-3,5-3-6,-100,-100,-100,-100,-100,-100,-100
191230137,1-2-3,2-6-5,-100,-100,-100,-100,-100,-100,-100
191229157,1-2-3,1-2-3,70,30,60,120,40,370,210
191230139,1-2-3,1-2-6,40,40,590,490,130,-100,-100
191231141,1-2-4,1-4-2,0,20,-100,-100,80,-100,90
191214104,1-2-3,1-5-4,0,50,-100,-100,-100,-100,-100
19120691,1-3-2,1-3-5,0,10,210,100,40,-100,-100
191229167,1-2-3,1-4-2,50,0,-100,-100,90,-100,-100
191204108,1-2-3,1-3-2,0,0,-100,-100,60,-100,260
191231136,1-2-3,2-3-6,-100,-100,-100,-100,-100,-100,-100
191203101,1-2-3,1-4-2,10,0,-100,-100,0,-100,-100
19122284,1-2-4,4-1-2,-100,80,-100,-100,40,-100,290
191205104,1-2-4,1-4-5,90,0,-100,-100,-100,-100,-100
191218101,1-2-3,1-2-3,10,20,90,40,40,260,70
19122385,1-2-3,1-2-3,10,0,30,50,0,170,70
191219121,1-2-3,1-4-2,0,0,-100,-100,20,-100,-100
19120693,2-1-3,1-2-3,-100,20,-100,90,70,-100,790
191220103,1-2-3,2-1-3,-100,60,-100,510,80,-100,280
19122099,1-2-3,2-5-4,-100,-100,-100,-100,-100,-100,-100
19120598,1-2-3,1-2-3,20,0,100,80,0,390,250
191218105,1-2-3,2-6-4,-100,-100,-100,-100,-100,-100,-100
19121285,1-2-3,1-2-4,20,0,110,150,60,-100,-100
191205103,1-2-3,5-3-1,-100,-100,-100,-100,-100,-100,-100
19120690,1-2-4,1-4-2,30,0,-100,-100,50,-100,30
191202106,1-2-4,1-5-4,40,30,-100,-100,-100,-100,-100
19120696,1-2-3,1-3-2,0,20,-100,-100,40,-100,360
191203106,1-2-3,2-1-3,-100,0,-100,70,100,-100,160
19122174,1-2-3,1-2-6,20,70,110,60,0,-100,-100
191203100,1-2-4,2-1-6,-100,40,-100,60,40,-100,-100
19122393,1-2-3,3-1-2,-100,0,-100,-100,50,-100,220
191219130,1-2-4,1-2-3,40,0,230,210,30,-100,-100
19120695,1-2-3,2-1-4,-100,0,-100,220,40,-100,-100
19122388,1-2-4,2-1-3,-100,50,-100,450,200,-100,-100
191230133,1-2-3,1-2-4,0,0,90,60,0,-100,-100
191203105,1-2-3,3-2-4,-100,-100,-100,-100,-100,-100,-100
19121378,1-2-3,1-2-5,30,20,250,120,0,-100,-100
191229164,2-1-4,2-5-6,0,0,-100,-100,-100,-100,-100
19120398,1-2-4,1-2-4,0,10,140,260,10,350,100
19121288,1-2-3,2-1-6,-100,150,-100,740,520,-100,-100
191211102,1-2-3,4-2-3,-100,-100,-100,-100,-100,-100,-100
191211101,1-2-3,3-2-6,-100,-100,-100,-100,-100,-100,-100
191211108,1-2-3,1-3-2,0,0,-100,-100,20,-100,160
191229158,1-2-4,6-1-4,-100,20,-100,-100,-100,-100,-100
19121381,1-2-4,1-4-5,60,20,-100,-100,-100,-100,-100
191202104,1-2-4,1-4-3,70,30,-100,-100,-100,-100,-100
191201132,1-2-3,1-3-2,0,0,-100,-100,40,-100,250
19121899,1-2-3,2-3-1,-100,-100,-100,-100,220,-100,750
191219127,1-2-3,2-1-3,-100,0,-100,130,30,-100,150
19121373,1-2-3,1-2-4,0,0,310,250,60,-100,-100
191230143,1-2-3,5-1-2,-100,0,-100,-100,90,-100,-100
191214107,1-2-3,1-2-3,20,0,140,190,10,460,140
19122097,1-2-3,1-2-6,50,0,170,140,10,-100,-100
191229168,1-2-3,1-4-5,10,0,-100,-100,-100,-100,-100
191201130,1-2-3,2-3-1,-100,-100,-100,-100,10,-100,80
191201128,2-1-3,1-5-3,-100,-100,-100,-100,-100,-100,-100
191218104,2-1-3,2-3-6,160,0,-100,-100,-100,-100,-100
19122178,1-2-4,4-1-5,-100,60,-100,-100,-100,-100,-100
19121376,2-1-4,1-3-2,-100,-100,-100,-100,110,-100,-100
191231139,2-1-3,2-6-5,240,50,-100,-100,-100,-100,-100
19122276,1-2-4,3-1-4,-100,50,-100,-100,-100,-100,-100
