レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
191212105,1-2-3,1-2-4,0,0,120,230,50,-100,-100
191214156,1-2-3,4-1-3,-100,0,-100,-100,-100,-100,-100
191214149,1-3-2,2-3-1,-100,-100,-100,-100,40,-100,370
191224137,1-2-3,1-3-2,40,50,-100,-100,160,-100,360
191204131,1-2-3,1-6-2,100,40,-100,-100,300,-100,-100
191231185,1-2-3,1-6-2,120,70,-100,-100,200,-100,-100
191228164,1-2-3,2-5-3,-100,-100,-100,-100,-100,-100,-100
191224135,1-2-3,1-2-4,80,0,300,200,60,-100,-100
191230171,2-1-3,3-5-1,-100,-100,-100,-100,-100,-100,-100
191231188,1-2-3,1-6-2,0,20,-100,-100,40,-100,-100
191206122,1-2-3,1-3-2,30,0,-100,-100,10,-100,130
191203121,1-2-3,1-5-6,10,0,-100,-100,-100,-100,-100
191212108,1-2-4,2-5-1,-100,-100,-100,-100,140,-100,-100
191229169,1-2-3,4-1-2,-100,0,-100,-100,140,-100,-100
191215146,1-2-3,1-3-6,20,70,-100,-100,-100,-100,-100
191211129,1-2-3,1-2-6,10,10,440,380,200,-100,-100
191206129,1-2-4,1-4-2,20,10,-100,-100,170,-100,240
191223138,2-1-3,2-1-5,100,0,500,150,30,-100,-100
191220122,2-1-3,2-4-1,80,50,-100,-100,50,-100,-100
191230173,1-2-3,5-2-3,-100,-100,-100,-100,-100,-100,-100
191212107,1-2-3,1-3-2,0,10,-100,-100,160,-100,240
191223144,1-2-3,1-5-3,0,0,-100,-100,-100,-100,-100
191205136,1-2-3,1-3-5,450,110,-100,-100,-100,-100,-100
191224136,2-1-3,3-6-4,-100,-100,-100,-100,-100,-100,-100
191206126,1-2-3,2-1-4,-100,80,-100,280,80,-100,-100
191213112,2-1-3,1-2-3,-100,20,-100,280,100,-100,260
191221111,1-2-3,1-3-5,60,40,-100,-100,-100,-100,-100
191221110,1-2-3,1-2-4,160,30,350,270,60,-100,-100
191222113,1-2-3,2-3-1,-100,-100,-100,-100,30,-100,950
191206132,1-2-3,2-3-6,-100,-100,-100,-100,-100,-100,-100
191204129,1-2-3,1-2-3,10,0,170,130,20,540,230
191221113,1-2-3,2-1-3,-100,0,-100,210,50,-100,220
191231184,1-2-3,3-6-2,-100,-100,-100,-100,-100,-100,-100
191202128,1-2-3,3-4-1,-100,-100,-100,-100,-100,-100,-100
191212102,1-2-3,2-1-5,-100,20,-100,90,50,-100,-100
19121298,1-2-3,5-6-2,-100,-100,-100,-100,-100,-100,-100
191205144,1-2-4,1-2-4,90,10,150,70,50,430,170
191220126,1-2-3,1-3-2,20,10,-100,-100,110,-100,790
191229172,1-2-3,3-1-5,-100,10,-100,-100,-100,-100,-100
191203131,1-2-3,1-2-4,130,0,160,60,30,-100,-100
191215153,1-2-3,2-1-3,-100,10,-100,250,80,-100,430
191203130,1-2-3,1-3-5,40,0,-100,-100,-100,-100,-100
191222110,2-1-3,6-3-1,-100,-100,-100,-100,-100,-100,-100
191220129,1-2-3,1-6-3,0,0,-100,-100,-100,-100,-100
191231181,1-2-3,6-4-1,-100,-100,-100,-100,-100,-100,-100
191231182,1-2-3,1-5-4,410,0,-100,-100,-100,-100,-100
191204132,1-2-3,1-4-6,0,0,-100,-100,-100,-100,-100
191228162,2-1-3,2-5-1,130,70,-100,-100,60,-100,-100
191206128,1-2-3,1-3-5,320,100,-100,-100,-100,-100,-100
191214155,2-1-3,1-4-5,-100,-100,-100,-100,-100,-100,-100
191205134,2-1-3,1-2-4,-100,20,-100,100,30,-100,-100
191220130,1-2-3,4-6-1,-100,-100,-100,-100,-100,-100,-100
191229179,1-2-3,1-2-6,0,0,600,490,170,-100,-100
191229171,1-2-3,4-5-6,-100,-100,-100,-100,-100,-100,-100
191215155,1-2-3,5-3-2,-100,-100,-100,-100,-100,-100,-100
191214148,1-2-3,2-3-4,-100,-100,-100,-100,-100,-100,-100
191213111,1-2-3,1-3-4,50,130,-100,-100,-100,-100,-100
191222114,1-2-3,3-1-4,-100,50,-100,-100,-100,-100,-100
191211128,1-2-3,2-1-4,-100,20,-100,80,70,-100,-100
191204123,2-1-3,2-1-3,130,50,1100,210,50,1580,170
191223140,1-2-4,4-1-2,-100,60,-100,-100,120,-100,260
191205143,1-2-3,1-2-3,0,0,110,70,10,520,230
191215145,1-2-4,2-4-3,-100,-100,-100,-100,-100,-100,-100
191215149,1-2-3,1-5-2,30,0,-100,-100,10,-100,-100
191215148,1-2-3,1-4-2,70,0,-100,-100,80,-100,-100
191205137,1-2-3,1-2-3,310,10,480,160,60,760,120
191211124,1-2-3,3-1-4,-100,90,-100,-100,-100,-100,-100
191223139,1-2-3,2-3-1,-100,-100,-100,-100,30,-100,840
191204128,1-2-3,1-4-6,30,40,-100,-100,-100,-100,-100
191202121,1-2-4,1-2-3,0,0,290,300,70,-100,-100
191229176,1-2-3,1-4-2,240,30,-100,-100,390,-100,-100
191206131,1-2-4,1-3-4,40,20,-100,-100,-100,-100,-100
191229174,2-1-3,3-4-1,-100,-100,-100,-100,-100,-100,-100
191230180,1-2-3,1-5-2,100,10,-100,-100,70,-100,-100
191230175,1-2-3,1-2-6,50,30,230,130,10,-100,-100
191228168,1-2-3,1-2-4,20,0,200,190,30,-100,-100
191203122,1-2-3,3-4-6,-100,-100,-100,-100,-100,-100,-100
191228160,1-2-3,1-3-6,120,40,-100,-100,-100,-100,-100
191213115,1-2-3,1-6-2,60,290,-100,-100,0,-100,-100
191212104,1-2-4,1-3-5,30,0,-100,-100,-100,-100,-100
191214154,1-2-3,1-5-4,110,0,-100,-100,-100,-100,-100
191231190,1-2-3,1-4-5,90,120,-100,-100,-100,-100,-100
191213119,1-2-3,1-2-5,20,0,160,160,50,-100,-100
191224141,2-1-3,2-6-1,170,160,-100,-100,80,-100,-100
191230172,1-2-3,3-4-2,-100,-100,-100,-100,-100,-100,-100
191221117,1-2-3,1-4-3,0,0,-100,-100,-100,-100,-100
191204121,1-2-3,1-5-3,0,0,-100,-100,-100,-100,-100
191222109,1-2-3,4-1-5,-100,0,-100,-100,-100,-100,-100
191221120,1-2-3,5-1-2,-100,0,-100,-100,50,-100,-100
191224139,1-2-3,1-6-5,100,70,-100,-100,-100,-100,-100
191220128,1-2-3,1-3-4,50,80,-100,-100,-100,-100,-100
191231183,2-1-4,5-2-4,-100,20,-100,-100,-100,-100,-100
191221119,1-2-3,1-6-3,30,0,-100,-100,-100,-100,-100
191222119,1-2-3,1-5-2,150,20,-100,-100,10,-100,-100
191220132,1-2-3,1-4-5,20,10,-100,-100,-100,-100,-100
191202131,1-2-3,1-5-2,0,0,-100,-100,170,-100,-100
