レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
191229214,1-5-3,1-2-5,70,260,-100,-100,240,-100,-100
191204147,1-2-4,1-2-4,110,100,1670,1040,240,9690,2930
191228193,1-2-4,3-5-4,-100,-100,-100,-100,-100,-100,-100
191203148,3-1-2,4-3-1,-100,20,-100,-100,60,-100,-100
191208141,1-2-6,1-3-2,120,60,-100,-100,170,-100,-100
191215176,1-6-4,3-2-6,-100,-100,-100,-100,-100,-100,-100
191215171,2-3-4,2-4-1,120,40,-100,-100,-100,-100,-100
191214176,1-2-3,1-5-2,10,0,-100,-100,70,-100,-100
191206134,1-4-2,4-2-6,-100,-100,-100,-100,-100,-100,-100
191213143,1-2-5,1-2-3,50,20,330,150,50,-100,-100
191216152,2-5-6,1-5-6,-100,-100,-100,-100,-100,-100,-100
191203155,1-6-2,1-6-5,30,10,2990,2000,190,-100,-100
191215169,1-6-3,5-1-3,-100,0,-100,-100,-100,-100,-100
191229211,1-6-2,1-6-2,20,0,300,250,60,1040,400
191213140,1-3-2,2-1-3,-100,50,-100,-100,50,-100,180
191231214,2-1-5,1-5-2,-100,-100,-100,-100,10,-100,450
191205148,1-4-3,1-2-6,220,30,-100,-100,-100,-100,-100
191203151,2-1-5,1-3-2,-100,-100,-100,-100,90,-100,-100
191231206,1-3-2,1-2-4,150,20,-100,-100,-100,-100,-100
191230196,3-6-5,3-4-5,170,0,-100,-100,-100,-100,-100
191213144,1-3-5,1-4-3,40,10,-100,-100,60,-100,-100
191229205,2-3-1,3-4-2,-100,-100,-100,-100,130,-100,-100
191231205,2-1-4,1-2-5,-100,90,-100,900,300,-100,-100
191231215,2-4-6,1-4-5,-100,-100,-100,-100,-100,-100,-100
191214180,1-3-5,4-2-1,-100,-100,-100,-100,-100,-100,-100
191204146,4-2-5,4-3-2,80,70,-100,-100,60,-100,-100
191228202,1-3-6,1-4-3,50,0,-100,-100,90,-100,-100
191215177,3-2-5,4-5-2,-100,-100,-100,-100,-100,-100,-100
191204148,1-2-4,2-4-6,-100,-100,-100,-100,-100,-100,-100
191207134,1-4-5,4-2-1,-100,-100,-100,-100,50,-100,-100
191216154,2-1-3,3-1-2,-100,-100,-100,-100,30,-100,300
191228200,5-4-6,4-2-6,-100,-100,-100,-100,-100,-100,-100
191213135,1-2-5,2-3-4,-100,-100,-100,-100,-100,-100,-100
