レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
191230196,3-2-1,3-4-5,170,0,-100,-100,-100,-100,-100
191230194,1-2-3,4-2-5,-100,-100,-100,-100,-100,-100,-100
191228201,1-3-4,5-4-1,-100,-100,-100,-100,-100,-100,-100
191214169,1-2-3,1-2-4,50,70,410,260,60,-100,-100
191203154,1-2-5,1-2-6,60,20,420,120,110,-100,-100
191203149,2-1-4,4-1-2,-100,-100,-100,-100,130,-100,810
191228203,1-3-5,4-5-2,-100,-100,-100,-100,-100,-100,-100
191205156,1-2-4,3-4-2,-100,-100,-100,-100,-100,-100,-100
191230195,2-1-3,4-6-3,-100,-100,-100,-100,-100,-100,-100
191208134,1-2-4,6-3-5,-100,-100,-100,-100,-100,-100,-100
191228204,1-2-3,1-2-4,40,40,490,320,70,-100,-100
191207142,1-2-3,2-5-4,-100,-100,-100,-100,-100,-100,-100
191230199,2-1-3,3-4-2,-100,-100,-100,-100,-100,-100,-100
191215178,1-2-5,4-1-6,-100,20,-100,-100,-100,-100,-100
191214171,1-3-5,4-1-5,-100,10,-100,-100,-100,-100,-100
191205154,1-2-5,1-2-6,20,10,250,210,130,-100,-100
191229207,3-2-1,5-2-3,-100,-100,-100,-100,330,-100,-100
191206143,2-1-3,3-2-1,-100,200,-100,-100,30,-100,110
191207143,1-2-3,1-3-5,40,0,-100,-100,-100,-100,-100
191228193,1-2-3,3-5-4,-100,-100,-100,-100,-100,-100,-100
191216155,1-4-3,2-1-6,-100,10,-100,-100,-100,-100,-100
191204149,1-3-2,2-5-3,-100,-100,-100,-100,-100,-100,-100
191216147,2-1-3,5-6-3,-100,-100,-100,-100,-100,-100,-100
191204154,1-2-4,2-1-4,-100,10,-100,100,50,-100,560
191207133,1-3-5,3-6-1,-100,-100,-100,-100,110,-100,-100
191231215,1-2-5,1-4-5,30,40,-100,-100,-100,-100,-100
191229208,1-2-3,2-3-5,-100,-100,-100,-100,-100,-100,-100
191229212,1-3-2,5-4-3,-100,-100,-100,-100,-100,-100,-100
191203155,1-4-2,1-6-5,30,10,-100,-100,-100,-100,-100
191216153,1-3-2,1-3-5,20,70,500,350,130,-100,-100
191231207,1-2-3,2-3-4,-100,-100,-100,-100,-100,-100,-100
191213144,1-2-3,1-4-3,40,10,-100,-100,-100,-100,-100
191208140,3-2-1,2-6-5,-100,-100,-100,-100,-100,-100,-100
191206136,1-2-3,2-1-3,-100,80,-100,240,110,-100,790
191228195,1-3-2,1-3-2,0,70,330,150,70,770,100
191216154,2-1-3,3-1-2,-100,-100,-100,-100,30,-100,300
191208141,1-3-4,1-3-2,120,60,1680,1430,270,-100,-100
191229209,1-2-3,5-2-3,-100,-100,-100,-100,-100,-100,-100
191213138,1-2-3,2-1-4,-100,180,-100,370,50,-100,-100
191229214,1-2-5,1-2-5,70,260,210,80,40,1520,570
191208135,1-2-3,2-1-6,-100,30,-100,330,100,-100,-100
191205155,1-3-2,1-2-4,30,60,-100,-100,-100,-100,-100
191230198,1-2-5,4-5-6,-100,-100,-100,-100,-100,-100,-100
191206141,1-2-3,2-1-4,-100,0,-100,90,60,-100,-100
191231211,1-2-3,1-2-4,20,20,170,140,50,-100,-100
191231206,2-1-4,1-2-4,-100,10,-100,410,100,-100,660
191229205,1-2-3,3-4-2,-100,-100,-100,-100,-100,-100,-100
191203152,1-2-3,3-1-2,-100,70,-100,-100,100,-100,320
191228202,1-3-4,1-4-3,50,0,-100,-100,90,-100,690
191229206,1-2-4,4-5-6,-100,-100,-100,-100,-100,-100,-100
191207137,1-2-3,1-2-6,250,80,490,360,150,-100,-100
191204151,1-2-3,2-1-4,-100,30,-100,120,30,-100,-100
191206139,1-2-3,1-3-5,70,0,-100,-100,-100,-100,-100
191228194,1-4-3,1-4-2,30,10,610,310,60,-100,-100
191206138,1-2-3,4-6-1,-100,-100,-100,-100,-100,-100,-100
191215172,2-3-4,1-4-3,-100,-100,-100,-100,-100,-100,-100
191214174,2-4-1,1-4-2,-100,-100,-100,-100,380,-100,1530
191230204,1-2-4,1-5-3,30,0,-100,-100,-100,-100,-100
191207134,1-2-4,4-2-1,-100,-100,-100,-100,50,-100,150
191206142,1-3-2,3-2-6,-100,-100,-100,-100,-100,-100,-100
191214176,1-3-4,1-5-2,10,0,-100,-100,-100,-100,-100
191228197,2-1-3,3-5-2,-100,-100,-100,-100,-100,-100,-100
191205153,1-2-4,1-6-4,130,20,-100,-100,-100,-100,-100
191205152,1-2-4,2-1-4,-100,40,-100,150,60,-100,170
191230201,2-1-3,4-3-5,-100,-100,-100,-100,-100,-100,-100
191230193,1-2-3,6-1-4,-100,0,-100,-100,-100,-100,-100
191203150,2-3-4,2-5-1,60,0,-100,-100,-100,-100,-100
191216146,2-1-4,2-4-5,210,40,-100,-100,-100,-100,-100
191207138,2-1-3,3-2-6,-100,50,-100,-100,-100,-100,-100
191228198,2-1-3,3-6-2,-100,-100,-100,-100,-100,-100,-100
191213134,1-2-3,3-1-6,-100,80,-100,-100,-100,-100,-100
191208144,1-2-3,1-4-6,20,10,-100,-100,-100,-100,-100
191207140,1-2-3,4-5-1,-100,-100,-100,-100,-100,-100,-100
191215169,1-2-4,5-1-3,-100,0,-100,-100,-100,-100,-100
191207141,1-2-3,1-4-5,300,20,-100,-100,-100,-100,-100
191204155,1-2-3,3-4-2,-100,-100,-100,-100,-100,-100,-100
191215179,1-2-4,3-5-6,-100,-100,-100,-100,-100,-100,-100
191231208,2-1-3,1-4-2,-100,-100,-100,-100,30,-100,-100
191204150,1-2-3,1-3-2,550,110,-100,-100,30,-100,100
191231214,2-1-3,1-5-2,-100,-100,-100,-100,10,-100,-100
191228196,1-2-3,1-3-4,330,100,-100,-100,-100,-100,-100
191205147,2-1-3,2-3-5,30,20,-100,-100,-100,-100,-100
191230197,1-2-3,2-3-4,-100,-100,-100,-100,-100,-100,-100
191213141,1-2-3,1-2-3,70,80,840,730,230,2340,470
191213137,1-3-2,6-5-4,-100,-100,-100,-100,-100,-100,-100
191215176,1-3-2,3-2-6,-100,-100,-100,-100,-100,-100,-100
191205146,1-3-5,3-4-2,-100,-100,-100,-100,-100,-100,-100
191214180,1-5-3,4-2-1,-100,-100,-100,-100,-100,-100,-100
191215171,2-1-4,2-4-1,120,40,-100,-100,10,-100,220
191204147,1-2-3,1-2-4,110,100,1670,1040,240,-100,-100
191215180,1-2-3,1-3-4,70,0,-100,-100,-100,-100,-100
191215175,1-2-3,1-2-3,40,30,250,200,10,750,290
191213136,2-1-6,1-5-6,-100,-100,-100,-100,-100,-100,-100
191230203,1-2-3,1-2-4,50,140,580,410,90,-100,-100
191204146,1-2-4,4-3-2,-100,-100,-100,-100,-100,-100,-100
191228199,1-2-3,1-4-2,10,0,-100,-100,40,-100,-100
191229215,1-3-2,1-3-4,300,170,790,570,30,-100,-100
191214172,2-3-1,1-3-4,-100,-100,-100,-100,-100,-100,-100
191231216,1-2-3,4-1-2,-100,40,-100,-100,120,-100,-100
191216156,1-2-3,1-3-2,40,0,-100,-100,40,-100,370
191203151,1-2-4,1-3-2,40,10,-100,-100,90,-100,-100
191207144,1-2-4,2-3-1,-100,-100,-100,-100,50,-100,-100
191229213,2-1-3,1-5-2,-100,-100,-100,-100,60,-100,-100
191231213,1-3-6,1-3-5,60,0,330,180,110,-100,-100
191231210,2-3-4,1-3-6,-100,-100,-100,-100,-100,-100,-100
191203148,1-3-2,4-3-1,-100,-100,-100,-100,60,-100,-100
191231212,1-2-3,1-5-2,0,200,-100,-100,230,-100,-100
191203153,1-3-2,3-1-2,-100,10,-100,60,40,-100,480
191214179,1-3-2,1-2-4,20,0,-100,-100,-100,-100,-100
191203147,2-1-3,3-5-6,-100,-100,-100,-100,-100,-100,-100
191213133,1-2-3,5-1-3,-100,0,-100,-100,-100,-100,-100
191216152,4-2-3,1-5-6,-100,-100,-100,-100,-100,-100,-100
191203146,1-2-4,4-5-3,-100,-100,-100,-100,-100,-100,-100
191208138,2-1-3,2-1-4,50,130,1130,590,200,-100,-100
191215170,1-2-4,4-1-5,-100,60,-100,-100,-100,-100,-100
191230200,1-2-3,5-3-2,-100,-100,-100,-100,-100,-100,-100
191206133,2-3-1,3-1-5,-100,-100,-100,-100,-100,-100,-100
191207136,1-3-5,5-4-3,-100,-100,-100,-100,-100,-100,-100
191216149,4-1-3,1-6-3,-100,-100,-100,-100,-100,-100,-100
191208142,1-2-5,3-4-2,-100,-100,-100,-100,-100,-100,-100
191205148,2-3-1,1-2-6,-100,50,-100,-100,-100,-100,-100
191214170,1-2-4,2-1-4,-100,30,-100,470,90,-100,120
191206144,1-2-3,1-6-2,20,20,-100,-100,110,-100,-100
191229211,1-2-4,1-6-2,20,0,-100,-100,140,-100,-100
191230202,1-2-4,4-2-3,-100,-100,-100,-100,-100,-100,-100
191214177,1-2-3,3-4-1,-100,-100,-100,-100,-100,-100,-100
191216145,1-2-3,2-1-3,-100,20,-100,220,40,-100,520
191205150,2-1-3,5-2-4,-100,0,-100,-100,-100,-100,-100
191205145,1-3-5,3-4-2,-100,-100,-100,-100,-100,-100,-100
191229210,1-2-4,4-2-3,-100,-100,-100,-100,-100,-100,-100
191216151,1-2-3,3-1-6,-100,0,-100,-100,-100,-100,-100
191207135,1-3-2,4-1-6,-100,40,-100,-100,-100,-100,-100
191213142,1-4-5,4-6-1,-100,-100,-100,-100,110,-100,-100
191214173,1-2-4,1-4-2,70,0,-100,-100,120,-100,330
191231209,1-2-3,3-1-5,-100,80,-100,-100,-100,-100,-100
191206137,1-2-3,3-1-2,-100,50,-100,-100,20,-100,120
191204145,1-3-4,3-1-4,-100,10,-100,140,40,-100,330
191205149,1-2-3,3-4-1,-100,-100,-100,-100,-100,-100,-100
191229216,1-3-4,2-5-4,-100,-100,-100,-100,-100,-100,-100
191215173,2-1-3,2-1-3,200,80,810,380,60,1730,360
191204156,2-1-4,1-5-4,-100,-100,-100,-100,-100,-100,-100
191208139,1-2-5,2-1-5,-100,100,-100,240,60,-100,830
191216148,2-1-3,4-2-3,-100,130,-100,-100,-100,-100,-100
191203156,2-1-3,2-6-1,1500,100,-100,-100,0,-100,-100
191206134,1-2-3,4-2-6,-100,-100,-100,-100,-100,-100,-100
191207139,2-3-1,3-4-1,-100,-100,-100,-100,-100,-100,-100
191208136,1-2-4,6-4-5,-100,-100,-100,-100,-100,-100,-100
191208133,1-3-5,3-1-6,-100,10,-100,180,90,-100,-100
191208137,1-2-4,5-1-2,-100,20,-100,-100,260,-100,-100
191214175,1-2-3,1-4-3,10,0,-100,-100,-100,-100,-100
191213135,2-4-1,2-3-4,20,60,-100,-100,330,-100,-100
191203145,1-2-3,2-1-3,-100,40,-100,230,40,-100,210
191206135,2-1-3,2-4-3,150,40,-100,-100,-100,-100,-100
191228200,1-3-2,4-2-6,-100,-100,-100,-100,-100,-100,-100
191214178,1-2-3,1-4-2,20,20,-100,-100,60,-100,-100
191231205,2-1-3,1-2-5,-100,90,-100,900,300,-100,-100
191216150,1-3-2,5-6-2,-100,-100,-100,-100,-100,-100,-100
191206140,1-2-3,2-1-3,-100,40,-100,80,30,-100,540
191213139,1-2-3,5-1-3,-100,40,-100,-100,-100,-100,-100
191213143,1-2-4,1-2-3,50,20,330,150,50,-100,-100
191215177,1-2-3,4-5-2,-100,-100,-100,-100,-100,-100,-100
191205151,1-2-4,1-2-3,10,40,320,210,50,-100,-100
191204152,2-1-3,2-5-1,220,90,-100,-100,190,-100,-100
191215174,1-2-3,1-4-2,100,90,-100,-100,30,-100,-100
191204148,1-3-2,2-4-6,-100,-100,-100,-100,-100,-100,-100
191208143,1-2-3,2-3-5,-100,-100,-100,-100,-100,-100,-100
191213140,1-2-3,2-1-3,-100,50,-100,280,90,-100,180
191204153,1-2-3,1-6-2,10,10,-100,-100,60,-100,-100
総レース数, 単勝, 複勝, 2連単, 2連複, 拡連複, 3連単, 3連複, 合計
168,-4910,-2850,-2090,-100,-2560,-9190,-1670,-23370
